,sta0_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta2_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta3,consumption_sta1,consumption_sta5,consumption_sta7,consumption_sta0,consumption_sta6,mean_acc,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
20,,,,,,,,,,,,8.839492062103628e-08,76077747.0,0.7133865356445312,83516632.0,0.7419581413269043,112840592.0,1.067194938659668,162799143.0,1.4787936210632324,151325601.0,1.3434090614318848,172292283.0,1.678070068359375,157228174.0,1.4463579654693604,154507234.0,1.366856336593628,164169685.0,1.4884109497070312,9308.84113422316,8111.377022648275,8738.848419402017,9244.406583456901,8526.206842689307,7378.552281024338,6809.4215542185875,7443.361563697886,6954.295077483953,7047.849099984553,7984.759364465813,0.9294282360510393,150459881.0,1.3127853870391846,,
21,,,,,,,,,,,,8.477345267257235e-08,71910155.0,0.6449356079101562,78145246.0,0.6558797359466553,111527424.0,1.0274686813354492,182242392.0,1.9651269912719727,142233157.0,1.2751593589782715,171494251.0,1.7007339000701904,158080223.0,1.4960718154907227,179954800.0,1.964930534362793,156520595.0,1.4444940090179443,9737.052575152024,8521.45728429379,9047.461377863328,9532.226981477737,8946.709466860073,7574.862657902912,6975.498423407107,7759.844780704791,7349.9692031313425,7295.378728226138,8391.652875943375,0.9316145994446494,,,163723030.0,1.5856125354766846
22,,,,,,,,,,,,1.013076781301236e-07,77407883.0,0.7115585803985596,79499613.0,0.6893248558044434,112178057.0,1.037362813949585,143771177.0,1.343522310256958,167748411.0,1.8381009101867676,151554543.0,1.455848217010498,111549397.0,1.0041062831878662,176402808.0,2.1076600551605225,178270417.0,2.110626697540283,10281.822863550417,8758.960318263196,9475.683773976072,9992.694556902528,9197.509593938748,7944.06704072857,7257.164283983309,8174.2115324471315,7526.6262408372295,7561.991224249191,8876.042772004237,0.9349749142473395,131558623.0,1.1840415000915527,,
23,,,,,,,,,,,,9.072690888075916e-08,75125296.0,0.6785800457000732,76599108.0,0.6543235778808594,162044873.0,1.4770872592926025,157140649.0,1.395601749420166,173789044.0,1.7360661029815674,162878062.0,1.4640076160430908,162007337.0,1.4654467105865479,160033526.0,1.3973493576049805,,,10582.338360756072,9165.942595666138,9921.808163941896,10330.008710299686,9601.331580487124,8224.429996816561,7625.1617541534615,8387.457454714564,7803.130911733524,7970.676662871432,9106.817700315876,0.9375640045512806,142522523.0,1.2093300819396973,172733383.0,1.7705326080322266
24,,,,,,,,,,,,8.795772038469868e-08,79233989.0,0.7212207317352295,90159315.0,0.7689967155456543,166710938.0,1.4938392639160156,161446181.0,1.4095675945281982,157198084.0,1.3447978496551514,167466491.0,1.4822821617126465,166025881.0,1.4764292240142822,187412179.0,2.0515670776367188,168718257.0,1.47706937789917,11024.606740058422,9544.207073866653,10344.040537880977,10679.899125524436,9962.287676647293,8537.679192830572,7876.597594072086,8691.636924714814,8143.481159688018,8227.983865777991,9451.916725456678,0.93950862234289,,,180960657.0,1.8906867504119873
25,,,,,,,,,,,,8.379745878702122e-08,72211852.0,0.6353776454925537,95270814.0,0.7897040843963623,119118897.0,1.0586082935333252,180041776.0,1.8846099376678467,148541978.0,1.3019459247589111,161512343.0,1.470066785812378,112679033.0,0.9929025173187256,182468405.0,2.0289955139160156,161002701.0,1.4524810314178467,11458.078724423325,9887.712551735198,10706.037908853334,11122.06171220135,10333.500638806585,8907.249545792896,8058.028350918264,9080.089227107055,8380.222990047445,8591.875508695231,9806.988724742121,0.9422140284018083,,,175318521.0,1.8898718357086182
26,,,,,,,,,,,,8.717312725316602e-08,66639905.0,0.6191480159759521,70507937.0,0.6061062812805176,155857878.0,1.4931895732879639,146805166.0,1.3573720455169678,165958804.0,1.65411376953125,165907717.0,1.6567933559417725,155640410.0,1.4805397987365723,175115518.0,1.9861814975738525,154929107.0,1.4342594146728516,11968.389254391363,10200.030737413075,10982.285852928282,11610.035407386064,10587.223800786647,9196.54886514329,8446.004440799721,9459.82378132837,8621.82742596153,8845.5117392109,10192.814520688251,0.9448085698214445,131980741.0,1.1483268737792969,,
27,,,,,,,,,,,,9.062154990969414e-08,50699455.0,0.5535745620727539,62962363.0,0.6417641639709473,141312260.0,1.6936793327331543,154934479.0,2.140833616256714,115998971.0,1.2290573120117188,,,137307327.0,1.610572338104248,149839339.0,1.9919226169586182,121032283.0,1.298560380935669,12400.791875616223,10436.251614715891,11423.326095339973,11999.587954941997,10972.424059873094,9565.044754647723,8716.574830839148,9856.975895005753,8780.38938775716,9139.635864253474,10399.524455824538,0.9464179114861921,,,134078758.0,1.5360286235809326
28,,,,,,,,,,,,1.1369920659311237e-07,73911615.0,0.649627685546875,79409892.0,0.6666877269744873,110267479.0,1.0004081726074219,,,168439510.0,1.7067816257476807,155979704.0,1.4416022300720215,158291465.0,1.4771099090576172,178018282.0,2.0157477855682373,155974698.0,1.4225432872772217,12679.037848192804,10827.456795280981,11814.840299629557,12194.281313440493,11392.98019362557,9740.99542198498,8928.510969181407,10121.77479285461,9065.377198895338,9383.959491285714,10806.640863009834,0.9480829726565968,142785706.0,1.2680165767669678,168128964.0,1.7847304344177246
29,,,,,,,,,,,,1.0048234370447628e-07,71683655.0,0.6484086513519287,71924559.0,0.6160011291503906,104812110.0,0.9830796718597412,,,130176303.0,1.2043235301971436,152005409.0,1.6087961196899414,145021601.0,1.4460031986236572,,,139703011.0,1.3334484100341797,13152.029629876288,11231.462486655713,12117.503916499163,12550.907185853306,11833.117016374628,10003.690697199283,9076.24102990316,10568.1189786725,9395.162998495302,9560.424119410838,11186.159351122351,0.9506432034752585,131355194.0,1.2158939838409424,150975504.0,1.6934833526611328
