,sta0_datasz,sta1_datasz,sta3_datasz,sta2_datasz,sta5_datasz,sta7_datasz,sta4_datasz,sta8_datasz,sta6_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta10,consumption_sta8,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta1,consumption_sta7,mean_acc,host_consumption_sta8,training_time_sta8,host_consumption_sta9,training_time_sta9,host_consumption_sta6,training_time_sta6
25,,,,,,,,,,,,9.678504025737695e-08,62253137.0,0.6325671672821045,139230845.0,1.4613838195800781,162074293.0,1.9610967636108398,,,162512279.0,2.0106170177459717,138876719.0,1.4386301040649414,163430002.0,2.001068592071533,140277962.0,1.4660701751708984,10715.365285820842,10483.811019717394,9360.811229412751,10479.071286618659,9929.410362110102,9221.043742271324,8252.623970598168,8505.312425409771,8354.956538919509,7299.381706247514,8313.588758764376,0.9405866807157343,77710128.0,0.7446916103363037,156011197.0,1.8592886924743652,126045575.0,1.2517616748809814
26,,,,,,,,,,,,1.3127646752609152e-07,75786182.0,0.6893250942230225,162599742.0,1.5862786769866943,178322115.0,2.028088331222534,151148051.0,1.3785898685455322,149769270.0,1.3535101413726807,,,155698088.0,1.43858003616333,104953283.0,0.9647965431213379,11159.451393030222,10741.370604537757,9581.536120618028,10869.224676379008,10187.798948802232,9458.692285547866,8494.349806536204,8825.273828634401,8665.039093302576,7509.071227308396,8485.131968770582,0.9436945861036127,81300634.0,0.6975834369659424,168205625.0,1.7974154949188232,144433651.0,1.3067266941070557
27,,,,,,,,,,,,1.3898737626358147e-07,77102586.0,0.7294080257415771,119310303.0,1.135807752609253,159034444.0,1.4893932342529297,,,158006248.0,1.451328992843628,172590256.0,1.6724579334259033,164903753.0,1.539335012435913,107511810.0,1.024122953414917,11403.523443627017,11147.133465063547,9940.624947123095,11085.421553725339,10625.532825690618,9797.984856385086,8734.28638478128,9209.255889937189,8836.941033854908,7725.660861457766,8725.401725885316,0.9445451172915372,76603014.0,0.694230318069458,169240961.0,1.6842894554138184,171659961.0,1.6613991260528564
28,,,,,,,,,,,,8.485515215067305e-08,,,113904371.0,1.7036828994750977,131151337.0,2.1909472942352295,95289856.0,1.2751615047454834,126811443.0,2.0426039695739746,,,125898970.0,2.0116162300109863,111835895.0,1.654233694076538,11884.092039527528,11483.843684822334,10306.703091106123,11595.730455447349,11008.740220290534,10143.318353811595,8993.519274456907,9457.92231095376,9306.579409528162,8038.931158703971,9042.377475766041,0.9461263960058038,49553096.0,0.667372465133667,117542973.0,1.7902278900146484,90485487.0,1.2095799446105957
29,,,,,,,,,,,,8.813772659295517e-08,69777714.0,0.6359341144561768,156426602.0,1.4566881656646729,149698897.0,1.3554949760437012,141571048.0,1.2269287109375,181196558.0,2.056429147720337,,,161467604.0,1.486234188079834,108715176.0,0.969933271408081,12369.4039691712,11844.056366672956,10647.40881622975,11967.112654435005,11347.628958438203,10638.045622289916,9229.562817886794,9872.079465243341,9555.22592470355,8243.741234704696,9375.076579029967,0.9489721547473561,79413859.0,0.6754298210144043,166467042.0,1.6237592697143555,171461170.0,1.6911060810089111
30,,,,,,,,,,,,7.609650049913258e-08,76824754.0,0.68522047996521,149003525.0,1.3960366249084473,142646364.0,1.291975498199463,,,166966736.0,1.956380844116211,,,147662586.0,1.3439702987670898,99639211.0,0.9092080593109131,12655.185676283465,12256.809879762704,11034.337164735654,12282.63577127563,11771.71467381751,10869.838168068036,9467.215942478568,10056.117212475912,9889.649685036937,8538.636542358438,9575.879971650891,0.9505993886427446,78017012.0,0.6616888046264648,153257237.0,1.526257038116455,141064031.0,1.2564170360565186
31,,,,,,,,,,,,9.926793953352513e-08,66343824.0,0.6310153007507324,104104347.0,1.0135498046875,,,129948520.0,1.2198665142059326,171993395.0,2.0555970668792725,157087671.0,1.6364030838012695,172110522.0,2.0356011390686035,149350325.0,1.5074050426483154,13075.886759345132,12636.121091976245,11417.65813815676,12671.328356717138,12199.416018434973,11267.94395801332,9703.800998120161,10329.11335001605,10201.369269337863,8749.568645550009,9867.914491867201,0.9518411972305991,76941087.0,0.6868016719818115,155637541.0,1.6188738346099854,142062441.0,1.3738982677459717
32,,,,,,,,,,,,1.0523941570434432e-07,,,157109217.0,1.407580852508545,163568367.0,1.4254741668701172,,,158864766.0,1.3412044048309326,170125419.0,1.5135102272033691,164803228.0,1.417771577835083,159688495.0,1.4162428379058838,13560.980247776926,12962.751749573099,11748.866906147752,12950.750015928003,12576.33285072624,11710.398249073143,10079.050779052233,10686.957212497882,10391.785681248602,8900.369686975044,10132.398127328777,0.9539477608420632,83577178.0,0.7121772766113281,172298448.0,1.6163389682769775,156326687.0,1.3284592628479004
33,,,,,,,,,,,,9.962043315663611e-08,69277593.0,0.6723828315734863,137599929.0,1.4436454772949219,152972875.0,1.863816738128662,,,129071996.0,1.2677059173583984,144340024.0,1.5964689254760742,154033175.0,1.918128490447998,91212474.0,0.9021527767181396,13929.165676059802,13215.16558411075,11979.290109642227,13375.9186119163,12838.040738263146,12111.021111074873,10238.094722846492,11080.670204061516,10731.898840574955,9106.009578990264,10452.611846842416,0.9562087004834955,69252630.0,0.626802921295166,,,128237221.0,1.2634685039520264
34,,,,,,,,,,,,1.53775512340372e-07,77695846.0,0.7380094528198242,109782250.0,1.0538151264190674,163297922.0,1.4999427795410156,154880585.0,1.3753697872161865,155996976.0,1.3982980251312256,172031847.0,1.6842610836029053,162539012.0,1.4783906936645508,164960454.0,1.5196037292480469,14216.981254623925,13668.97791030272,12310.106275139611,13632.115628383845,13219.211117808727,12319.153967487311,10507.72692187974,11268.773833671656,10904.943563379416,9434.515897730153,10625.770140207132,0.9576856439763849,80333107.0,0.7269642353057861,,,150909159.0,1.356398105621338
