[2026-07-09 18:04:19] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [2989498.6666666665, 2842176.3333333335]
[2026-07-09 18:04:19] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [4164791.0, 3186833.3333333335]
[2026-07-09 18:04:19] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [3126449.6666666665, 3081507.6666666665]
[2026-07-09 18:04:20] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [3597839.6666666665, 3284497.6666666665]
[2026-07-09 18:04:20] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [2792683.0, 2919208.6666666665]
[2026-07-09 18:04:20] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.8766666666666666 | freq: [3501905.0, 3819294.6666666665]
[2026-07-09 18:04:21] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 1.05 | freq: [3138835.6666666665, 2926083.0]
[2026-07-09 18:04:21] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 1.2233333333333334 | freq: [3483128.3333333335, 3768009.3333333335]
[2026-07-09 18:04:22] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.0466666666666666 | freq: [3034144.0, 3355933.0]
[2026-07-09 18:04:22] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.8633333333333333 | freq: [1712404.6666666667, 2338310.0]
[2026-07-09 18:04:22] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6833333333333332 | freq: [4102498.6666666665, 3277387.0]
[2026-07-09 18:04:23] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6933333333333334 | freq: [2222823.0, 2158101.3333333335]
[2026-07-09 18:04:23] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6966666666666667 | freq: [3671145.3333333335, 2451196.6666666665]
[2026-07-09 18:04:23] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6966666666666667 | freq: [2379391.0, 2329881.3333333335]
[2026-07-09 18:04:24] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.69 | freq: [2700000.0, 2906343.0]
[2026-07-09 18:04:24] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [1988639.6666666667, 2242645.3333333335]
[2026-07-09 18:04:24] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6966666666666667 | freq: [3099663.0, 3235910.6666666665]
[2026-07-09 18:04:24] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7033333333333333 | freq: [3239406.3333333335, 2305548.3333333335]
[2026-07-09 18:04:25] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7033333333333333 | freq: [3468223.6666666665, 2882000.0]
[2026-07-09 18:04:25] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [3034144.0, 3219196.6666666665]
[2026-07-09 18:04:26] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6966666666666667 | freq: [1725943.0, 2282035.0]
[2026-07-09 18:04:26] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6966666666666667 | freq: [4141695.0, 3290079.3333333335]
[2026-07-09 18:04:26] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7033333333333333 | freq: [2101485.0, 2283921.0]
[2026-07-09 18:04:27] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [3688157.3333333335, 2353406.6666666665]
[2026-07-09 18:04:27] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2261251.3333333335, 2392115.0]
[2026-07-09 18:04:27] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [2700000.0, 2488417.3333333335]
[2026-07-09 18:04:28] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [2000000.0, 2273704.0]
[2026-07-09 18:04:28] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3011266.6666666665, 3240810.0]
[2026-07-09 18:04:28] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3191905.6666666665, 2006055.6666666667]
[2026-07-09 18:04:29] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3468186.3333333335, 2484326.0]
[2026-07-09 18:04:29] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [3041366.0, 3303852.3333333335]
[2026-07-09 18:04:29] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1695465.0, 2011089.0]
[2026-07-09 18:04:30] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [4197783.333333333, 2665137.0]
[2026-07-09 18:04:30] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.8799999999999999 | freq: [2178653.0, 3122446.6666666665]
[2026-07-09 18:04:30] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.0533333333333335 | freq: [3661221.0, 3324177.6666666665]
[2026-07-09 18:04:31] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.2266666666666666 | freq: [2254778.3333333335, 3073784.6666666665]
[2026-07-09 18:04:31] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.0466666666666666 | freq: [2688541.3333333335, 3227128.6666666665]
[2026-07-09 18:04:31] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.8633333333333333 | freq: [3133333.3333333335, 3060452.6666666665]
[2026-07-09 18:04:32] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.68 | freq: [2943364.6666666665, 2793552.0]
[2026-07-09 18:04:32] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6833333333333332 | freq: [3246650.3333333335, 1777835.3333333333]
[2026-07-09 18:04:32] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6866666666666666 | freq: [4060940.0, 2365667.6666666665]
[2026-07-09 18:04:33] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.69 | freq: [3198516.6666666665, 3113610.0]
[2026-07-09 18:04:33] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.69 | freq: [3036731.0, 2399311.6666666665]
[2026-07-09 18:04:33] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.69 | freq: [3597801.6666666665, 2514110.6666666665]
[2026-07-09 18:04:34] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.69 | freq: [2176220.3333333335, 2955049.6666666665]
[2026-07-09 18:04:34] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6966666666666667 | freq: [3673124.6666666665, 3773869.6666666665]
[2026-07-09 18:04:34] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7033333333333333 | freq: [2259529.0, 3218238.6666666665]
[2026-07-09 18:04:35] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7033333333333333 | freq: [2688541.3333333335, 2931421.3333333335]
[2026-07-09 18:04:35] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [3133333.3333333335, 2888421.0]
