,time_sta5,round_time,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta0,consumption_sta2,consumption_sta4,mean_acc,time_sta1,time_sta4,time_sta0,time_sta2,time_sta3
17,6.6334381103515625,12.39798355102539,0.8599547419889553,0.9395090567388173,0.836472820131056,0.8416571339559168,1.0156436119680863,0.8899570864427859,0.9611348609129587,,,6.424745082855225,12.39798355102539,
18,8.448588371276855,9.040589332580566,1.0084406811074422,0.9395090567388173,0.872288648951378,0.9216300723408791,1.0156436119680863,1.0109653365125142,0.9629145960013071,9.040589332580566,7.2575483322143555,5.407259941101074,,
19,8.588215351104736,11.35352349281311,1.0084406811074422,1.0704306014988667,0.9095802660462827,1.0407362297416367,1.0156436119680863,1.0109653365125142,0.9637121061484019,,,4.666596174240112,,11.35352349281311
20,5.928553104400635,7.7919487953186035,1.1581788860066289,1.0704306014988667,0.9566042031198866,1.0407362297416367,1.0156436119680863,1.0109653365125142,0.9652974704901377,7.7919487953186035,,,,
21,9.20011043548584,11.382934331893921,1.1581788860066289,1.102009130907053,0.9961601627340596,1.116356320338174,1.2028783522328212,1.0906072710499417,0.9669995804627737,,9.05737018585205,5.867439270019531,11.382934331893921,
22,8.667733669281006,12.462684392929077,1.1977087116465746,1.2339000027491487,1.032253951747637,1.116356320338174,1.2028783522328212,1.1672465882309255,0.9675052861372629,,9.994423866271973,,,12.462684392929077
23,6.301628589630127,6.301628589630127,1.2377663669490722,1.2339000027491487,1.1055579135134677,1.156413880267007,1.2028783522328212,1.20702730860709,0.9683223168055216,,,5.6671881675720215,,
24,7.788957595825195,7.788957595825195,1.2377663669490722,1.267972968416121,1.1401226830299747,1.1964679781317398,1.235420546706378,1.2422477943357835,0.9683612585067749,,,5.172544479370117,,
25,9.350128650665283,9.350128650665283,1.2377663669490722,1.2998730596788413,1.2094047627054492,1.314440363584826,1.2686617586263496,1.2422477943357835,0.9686819911003113,,,4.704491853713989,,
26,8.327096939086914,8.327096939086914,1.3804506559835352,1.2998730596788413,1.2472366080395743,1.3469115682591561,1.2686617586263496,1.3278803777733417,0.9689541955788931,7.578404188156128,7.026965141296387,,,
27,10.317362070083618,13.160062313079834,1.3804506559835352,1.4836407048826565,1.3677473254815196,1.3869689151868028,1.4040952900854564,1.3278803777733417,0.9694503347078959,,,,13.160062313079834,10.541314363479614
28,7.284423112869263,9.207199096679688,1.5323928859160652,1.4836407048826565,1.4047919788248349,1.4270264115331952,1.4040952900854564,1.412951369270347,0.9711228907108307,9.207199096679688,6.839308500289917,5.395047664642334,,
29,5.505148649215698,9.694543361663818,1.5664342574663954,1.4836407048826565,1.4411710972369773,1.462809644813373,1.5434990810482803,1.5295135390237975,0.9707440535227457,,9.042484045028687,5.238459348678589,9.694543361663818,
30,8.04511022567749,10.547817945480347,1.6002751615171937,1.6140365166112538,1.4785373521738547,1.5025488442637536,1.5434990810482803,1.5626886395076,0.9717070261637369,,,5.2515599727630615,,10.547817945480347
31,8.229418992996216,9.569456338882446,1.6002751615171937,1.6140365166112538,1.5184106915072801,1.5426142454975502,1.6864316786030344,1.6021108518603258,0.9717751741409302,,,6.147997140884399,9.569456338882446,
32,8.910423755645752,8.910423755645752,1.6002751615171937,1.6140365166112538,1.5595011593730446,1.5754223957988498,1.7219368133981434,1.6413631528467592,0.9726209342479706,,,5.440590858459473,,
33,8.775669574737549,9.390151262283325,1.7801922459376462,1.8010835265296414,1.5982870004722995,1.6526952230233047,1.7219368133981434,1.681435470260945,0.9726405541102091,6.597754955291748,,5.583708763122559,,9.390151262283325
34,8.801257133483887,9.282502889633179,1.7801922459376462,1.8010835265296414,1.6368655246531985,1.731048117283731,1.7219368133981434,1.7551175218535435,0.9736518760522207,,9.282502889633179,6.3603575229644775,,
35,6.943074941635132,12.877038717269897,1.7801922459376462,1.8010835265296414,1.6740399545343108,1.7985060690836119,1.9119838115388945,1.7551175218535435,0.9738174279530843,,,4.829500913619995,12.877038717269897,
36,5.969854116439819,8.605347871780396,1.9213303625210876,1.8010835265296414,1.706853797053948,1.7985060690836119,1.9119838115388945,1.8447683536447614,0.9738271137078603,7.412835597991943,8.605347871780396,,,
37,8.224173545837402,11.307163000106812,1.9213303625210876,1.9378891417068864,1.795264295899723,1.882435851076505,1.9510355051444237,1.8447683536447614,0.9731948872407278,,,4.44153094291687,,11.307163000106812
38,8.10371994972229,8.344289064407349,1.9544626529450446,1.9711784235444192,1.832776833376971,2.0063966711711,1.9510355051444237,1.9244018253588366,0.9742648601531982,,8.344289064407349,6.07024073600769,,
39,7.62393856048584,7.62393856048584,1.9544626529450446,2.004223761796478,1.871052840235012,2.042534351146078,1.9510355051444237,2.0001824568589175,0.9748582243919373,,6.959460496902466,,,
40,7.660942554473877,12.817067384719849,2.0801266766432582,2.004223761796478,1.9033400802332734,2.042534351146078,2.0955536072503294,2.0001824568589175,0.9744788507620493,8.819114923477173,,,12.817067384719849,
41,7.191052198410034,11.009831666946411,2.0801266766432582,2.132433984221503,1.9383759320806702,2.042534351146078,2.0955536072503294,2.0783699795395822,0.9754124780495962,,6.8229687213897705,,,11.009831666946411
42,10.326404094696045,10.326404094696045,2.1181477576381034,2.132433984221503,2.0511872558088298,2.165080794070047,2.131328504872043,2.0783699795395822,0.9754708607991537,,,5.873489141464233,,
43,8.579265832901001,8.579265832901001,2.1181477576381034,2.132433984221503,2.118714684145753,2.2013476195270596,2.131328504872043,2.1548724720688046,0.9752277533213297,,6.924647331237793,,,
44,8.971946954727173,12.888304710388184,2.265052674767771,2.3433607942708328,2.1540243919396174,2.2013476195270596,2.315552583011551,2.1548724720688046,0.9760253429412842,9.57251763343811,,,12.888304710388184,11.265731573104858
45,9.31200098991394,9.31200098991394,2.265052674767771,2.3433607942708328,2.2277339016108497,2.3172080886549407,2.315552583011551,2.238801896410452,0.9760641356309255,,7.865316152572632,6.405890703201294,,
46,8.885968208312988,9.75526762008667,2.354254220290057,2.3433607942708328,2.264619557514467,2.3172080886549407,2.354604329072599,2.3249845061419325,0.9759864807128906,9.75526762008667,6.904239177703857,,,
47,8.769598245620728,8.769598245620728,2.3943116451061974,2.380626112077149,2.30294869227352,2.397262727301897,2.354604329072599,2.408599863409693,0.9769685467084249,,7.113679885864258,5.58867335319519,,
48,7.4192893505096436,10.940767526626587,2.434368860100276,2.380626112077149,2.3794917456336178,2.397262727301897,2.535605661074739,2.408599863409693,0.9767449597517649,,,,10.940767526626587,
49,8.218949556350708,11.32831883430481,2.434368860100276,2.556877856143597,2.4156999655620295,2.5210458217477663,2.573886706841505,2.483652841519943,0.9771144886811575,,10.621542692184448,4.460131645202637,,11.32831883430481
50,9.553752422332764,9.553752422332764,2.609486560404091,2.596940246748641,2.4522607660404843,2.5210458217477663,2.573886706841505,2.560793515812735,0.9772895375887553,7.4435718059539795,9.550362586975098,,,
51,7.480294466018677,8.20880675315857,2.649322096795172,2.596940246748641,2.526885740515513,2.5562819678325224,2.573886706841505,2.560793515812735,0.9779800375302633,,,8.20880675315857,,
52,9.222738265991211,11.720377683639526,2.649322096795172,2.6300773376471476,2.563842381449663,2.6646236157992758,2.7136124777134385,2.6423964394374355,0.9774354696273804,,8.742569923400879,5.876898288726807,11.720377683639526,
53,8.299470901489258,14.221725463867188,2.6835827196886846,2.797109198087636,2.6339740592851824,2.6646236157992758,2.74746961595187,2.722078264010948,0.9783594210942587,,6.776390790939331,,,14.221725463867188
54,5.20938515663147,9.053256273269653,2.8299433281757422,2.797109198087636,2.6770100355025503,2.6971748421590616,2.78720922868814,2.722078264010948,0.9785440464814504,9.053256273269653,,5.551948547363281,,
55,8.723843097686768,9.839336156845093,2.8299433281757422,2.797109198087636,2.716135904387772,2.7372327358957347,2.827138139078001,2.7591496553617123,0.9789429306983948,,9.839336156845093,4.883877754211426,,
56,7.938753128051758,9.866763353347778,2.8299433281757422,2.8310572767067974,2.754288882394934,2.8097042333807463,2.866642809913357,2.8806942487833016,0.9785538911819458,,9.866763353347778,5.728659391403198,,
57,8.832146406173706,8.832146406173706,2.8299433281757422,2.8310572767067974,2.788715741589445,2.878673279197049,2.9063427535625395,2.8806942487833016,0.9782912731170654,,,7.141172409057617,,
58,6.011393070220947,13.842048168182373,3.005287044994842,3.016334602807202,2.832652940143052,2.878673279197049,2.9063427535625395,2.8806942487833016,0.978728860616684,7.050517320632935,,,,13.842048168182373
59,8.081195592880249,11.219069719314575,3.005287044994842,3.016334602807202,2.8700447615808455,2.962604738176925,3.136358169045009,2.960946258464732,0.9797599613666534,,6.782988548278809,4.9969260692596436,11.219069719314575,
