,sta0_datasz,sta2_datasz,sta4_datasz,sta1_datasz,sta5_datasz,sta3_datasz,sta7_datasz,sta8_datasz,sta6_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta8,consumption_sta2,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta1,consumption_sta7,mean_acc,host_consumption_sta3,training_time_sta3,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
30,,,,,,,,,,,,1.1178903555202176e-07,56117898.0,0.5923078060150146,104750159.0,1.2527427673339844,109074733.0,1.4005703926086426,,,,,70136844.0,0.7666363716125488,11609.345656916184,10221.670211015991,10866.81329612142,11391.52070459491,10969.988137219181,9414.696341422521,8759.374526363874,8951.482775824263,8763.772131844249,7994.901341451376,8139.539710719121,0.903407709165053,98924978.0,1.110306739807129,,,95823974.0,1.053492784500122,,,,
31,,,,,,,,,,,,1.5032234673167606e-07,36768155.0,0.5729498863220215,89372635.0,1.615837574005127,,,95052675.0,1.8392784595489502,73755914.0,1.169891357421875,87479939.0,1.5598673820495605,12008.521002114445,10531.990339167663,11127.408587541091,11771.65502762788,11316.794961114805,9712.904885190566,8995.303761798328,9267.98132930185,8945.362653537244,8202.318507476542,8407.300799628165,0.9421652230349454,104163186.0,2.1919970512390137,47867980.0,0.7214345932006836,,,,,,
32,,,,,,,,,,,,9.629855383035627e-08,,,79195903.0,0.8337223529815674,104143472.0,1.1602838039398193,,,103294840.0,1.1309325695037842,71135804.0,0.742931604385376,12433.693406177421,10835.10380030408,11452.499267835477,12029.84641873539,11524.857372199453,9980.753839868064,9160.144248421213,9636.21402473451,9213.84505886222,8456.138760725338,8652.19496076464,0.9121670939705588,119733764.0,1.7421188354492188,74327202.0,0.7249643802642822,,,,,,
33,,,,,,,,,,,,1.4870682388831506e-07,46984987.0,0.4874293804168701,73766108.0,0.8051221370697021,,,119158692.0,1.8079824447631836,100629686.0,1.167290449142456,,,12689.420716576185,11049.427296484637,11964.473404898572,12449.047209942868,11909.712679802813,10176.253476460251,9543.254599173073,9924.230574568393,9420.229619927179,8824.321367622628,8806.921792445743,0.9426606351679022,122615225.0,1.8627738952636719,,,92743049.0,1.0247459411621094,,,,
34,,,,,,,,,,,,8.29277452836212e-08,,,82031040.0,1.355271816253662,,,92129952.0,1.7680902481079102,93114507.0,1.7626972198486328,51201102.0,0.7165277004241943,13083.80381965301,11402.69950034488,12224.366521604985,12861.63591831308,12296.022843386132,10638.277264240392,9805.562147154473,10382.908786886934,9687.536174166607,8959.93313317503,9125.757057676392,0.8659564635970376,,,,,69310004.0,0.9960122108459473,,,,
35,,,,,,,,,,,,1.0338147950464666e-07,50202142.0,0.5943598747253418,66337355.0,0.820549488067627,,,106036166.0,1.8280436992645264,87969258.0,1.1697421073913574,95417969.0,1.380310297012329,13419.574610775944,11602.367229158734,12555.293779197647,13125.620531825869,12497.99152281159,10908.324475022328,9985.5207097508,10663.433610209866,9931.434008705828,9294.569550584241,9279.034219003282,0.8852572793310339,110810203.0,1.917177438735962,64157306.0,0.7546088695526123,,,,,,
36,,,,,,,,,,,,8.030788572320003e-08,64327838.0,0.6235604286193848,82291232.0,0.8371608257293701,106369417.0,1.1626918315887451,122503471.0,1.8262741565704346,107210663.0,1.176238775253296,77564804.0,0.7773175239562988,13678.109593691854,11942.314691318947,12802.167332942028,13540.601719686545,12894.87559685756,11229.120946175302,10341.18406516369,10867.397101710645,10133.169303387152,9472.070975610464,9522.094273156845,0.9113054383884777,,,,,,,,,,
37,,,,,,,,,,,,1.2844376330669162e-07,42231520.0,0.5004546642303467,,,85059475.0,1.1799228191375732,107495086.0,1.8898820877075195,109776697.0,1.9278748035430908,58896212.0,0.7370593547821045,14143.138357062558,12132.817021017563,13161.828650276184,13819.002038418363,13123.558217484648,11573.957208807224,10502.67322528189,11293.570490618264,10448.244209980605,9702.690369195185,9779.814061487523,0.9356198473410173,103913980.0,1.7309112548828125,,,,,,,,
38,,,,,,,,,,,,8.778943590086095e-08,,,,,,,83509551.0,1.0357105731964111,106018528.0,1.7486422061920166,57678563.0,0.7185065746307373,14424.851474621031,12459.635870642247,13418.789726355106,14233.717708943237,13514.351361890373,11768.082562316657,10687.787875178745,11467.325604919115,10616.048772096847,9925.055659956333,9959.422476139136,0.9050891616127708,108861599.0,1.8294448852539062,,,81148474.0,0.9964284896850586,,,,
39,,,,,,,,,,,,1.0015914864330381e-07,,,91669138.0,1.3059558868408203,84593045.0,1.1308629512786865,101471176.0,1.8133714199066162,84780483.0,1.1144495010375977,89452652.0,1.2337923049926758,14814.652676870808,12672.079144997888,13786.737585893125,14506.849094363959,13760.65293870392,12120.446854991782,10949.96578298876,11742.507218893441,10926.805581120008,10177.504985285685,10164.638313099142,0.8853284933350303,,,,,,,,,,
