,sta0_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta2,mean_acc,host_consumption_sta3,training_time_sta3,host_consumption_sta9,training_time_sta9,host_consumption_sta7,training_time_sta7,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta10,training_time_sta10
20,,,,,,,,,,,,1.068625999922276e-07,,,42139358.0,0.48598790168762207,95743225.0,1.2465159893035889,96801083.0,1.279845952987671,93402654.0,1.1859848499298096,8068.737543874886,7202.031757368863,7721.270269798422,7487.522858840095,6638.135638784287,5948.863836228556,6268.297003176346,6458.235211251217,6280.636029194284,5784.321241866802,7833.4712686018165,0.9236248298124834,87239218.0,1.0790271759033203,,,111944477.0,2.0175864696502686,,,,,,
21,,,,,,,,,,,,8.029632477118335e-08,,,55122601.0,0.5953059196472168,100712816.0,1.2627415657043457,70742190.0,0.799081563949585,,,8320.40106011947,7512.218261161479,8082.458625886994,7833.482594214239,6857.541856821146,6175.519235313906,6494.188623984453,6642.449023654143,6589.589985482743,6024.299703543189,8267.80195167784,0.9120623469352722,93493719.0,1.0728981494903564,,,112744890.0,1.843348741531372,91647776.0,1.0329787731170654,,,,
22,,,,,,,,,,,,6.831534482957697e-08,44124948.0,0.7059695720672607,33105629.0,0.4597351551055908,46767886.0,0.6987371444702148,,,,,8739.864504367657,7907.517512312136,8378.628141366093,8233.813584806596,7200.573546940675,6462.307641176263,6663.306547140152,6919.694808009993,6768.2535981709925,6340.392534694127,8547.533560891083,0.8724037733944979,77468918.0,1.787543535232544,,,,,,,78260054.0,1.8501086235046387,,
23,,,,,,,,,,,,6.117121519151372e-08,69501531.0,0.7352380752563477,46585757.0,0.5115067958831787,68795600.0,0.7642872333526611,,,,,9033.014067853344,8125.753331073343,8766.947612961583,8505.173740758552,7381.762390710096,6752.093417606764,6883.116524142637,7101.550206543857,7076.498187541917,6487.401494097243,8905.664030212318,0.872062547640367,91918465.0,1.0780889987945557,,,92499336.0,1.0787737369537354,102833355.0,1.4484624862670898,,,,
24,,,,,,,,,,,,6.314195739403323e-08,39701742.0,0.49589967727661133,36280181.0,0.4767029285430908,,,91223338.0,1.5666062831878662,,,9430.70926436733,8342.89017924231,9018.60348303119,8747.073586538707,7694.29334463263,6894.5055120407515,7090.419613325249,7373.9118884509,7252.7926317338315,6717.612054158162,9147.937299749132,0.8846584883603182,103262308.0,2.024670362472534,,,,,87332906.0,1.4484193325042725,76240894.0,1.137727975845337,,
25,,,,,,,,,,,,8.017108031092063e-08,,,45850712.0,0.4918026924133301,,,68108774.0,0.7741374969482422,92565864.0,1.120798110961914,9685.270882409792,8649.73806216468,9434.596856901622,9133.7708770775,7916.936923142021,7143.667109658443,7335.061679479764,7559.863041015273,7428.236008094981,6999.891538953431,9356.844217404727,0.8878989924084056,106411654.0,1.6463344097137451,,,85782129.0,0.9893758296966553,,,,,,
26,,,,,,,,,,,,1.2197958098874746e-07,,,25639034.0,0.5870761871337891,52412525.0,1.3154287338256836,,,56325784.0,1.427396297454834,10214.624685848032,8856.91808049059,9690.49527303431,9363.059980251935,8267.827123511574,7313.224491016021,7481.116872067414,7889.42990594953,7762.390744384055,7355.6913811866625,9724.454796232732,0.9254238334569064,,,,,68295174.0,1.9304625988006592,,,68087899.0,1.9041306972503662,,
27,,,,,,,,,,,,9.002448679651557e-08,,,,,97591670.0,1.2907111644744873,98721427.0,1.322901964187622,,,10474.549739728505,9191.032890453434,10075.96208774015,9759.974116707757,8483.783941573818,7567.759064060732,7726.348871514784,8066.849013621378,7919.74629720933,7537.054378918513,9980.423105337539,0.9269619042223151,88567461.0,1.108518362045288,,,88551653.0,1.0809574127197266,104390236.0,1.5132951736450195,112835526.0,1.8266987800598145,,
28,,,,,,,,,,,,8.426921520262718e-08,,,51686940.0,0.6312069892883301,89771804.0,1.2880620956420898,63456380.0,0.8053879737854004,92618965.0,1.3788776397705078,10837.039261200796,9527.185450624454,10432.564003736396,10118.635626066918,8831.575685465692,7874.27246695825,8003.920225007512,8380.993090131278,8167.527547650981,7908.649515998311,10361.662879013737,0.8989870602434332,81211950.0,1.0698416233062744,,,107819975.0,2.0617220401763916,,,,,,
29,,,,,,,,,,,,9.219810808828085e-08,,,48567381.0,0.5180974006652832,71644714.0,0.7780275344848633,106524569.0,1.407731533050537,,,11268.417359544372,9874.838669817987,10715.907166579738,10397.964262017775,9120.449368110714,8200.55475327922,8180.400198357149,8644.730651242555,8553.280151019042,8170.980121670631,10820.529725430735,0.9376769065856934,117977969.0,1.8399667739868164,,,,,91476450.0,1.032334327697754,97697016.0,1.1463048458099365,,
