[2026-07-09 17:41:07] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6966666666666667 | freq: [4057513.0, 3928277.0]
[2026-07-09 17:41:07] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6966666666666667 | freq: [2879603.0, 3558843.6666666665]
[2026-07-09 17:41:07] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7133333333333333 | freq: [4020412.0, 2810250.0]
[2026-07-09 17:41:08] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7000000000000001 | freq: [3703977.0, 4000703.3333333335]
[2026-07-09 17:41:08] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6866666666666666 | freq: [3953303.6666666665, 2824496.0]
[2026-07-09 17:41:08] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.67 | freq: [4011433.0, 4137803.3333333335]
[2026-07-09 17:41:09] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6866666666666666 | freq: [2847555.0, 3158005.3333333335]
[2026-07-09 17:41:09] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6900000000000001 | freq: [2663663.6666666665, 2683737.0]
[2026-07-09 17:41:10] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7066666666666667 | freq: [4125771.0, 3204237.0]
[2026-07-09 17:41:10] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6933333333333334 | freq: [3066681.6666666665, 3015958.0]
[2026-07-09 17:41:10] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6933333333333334 | freq: [3847659.3333333335, 3288906.0]
[2026-07-09 17:41:11] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.68 | freq: [3324179.6666666665, 3210476.3333333335]
[2026-07-09 17:41:11] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6933333333333334 | freq: [1796683.3333333333, 3386728.6666666665]
[2026-07-09 17:41:11] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [3148191.0, 3346970.6666666665]
[2026-07-09 17:41:12] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7133333333333333 | freq: [3703897.3333333335, 3572134.0]
[2026-07-09 17:41:12] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3303882.0, 2836088.3333333335]
[2026-07-09 17:41:12] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3469486.3333333335, 3437115.6666666665]
[2026-07-09 17:41:13] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [1980904.0, 2381087.0]
[2026-07-09 17:41:13] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1730313.6666666667, 1807092.6666666667]
[2026-07-09 17:41:13] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7000000000000001 | freq: [3588795.6666666665, 2701368.0]
[2026-07-09 17:41:14] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6900000000000001 | freq: [2243993.0, 2281334.0]
[2026-07-09 17:41:14] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.68 | freq: [4095634.6666666665, 3325553.6666666665]
[2026-07-09 17:41:14] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.68 | freq: [2398000.6666666665, 2716217.0]
[2026-07-09 17:41:15] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.68 | freq: [2241048.6666666665, 2713365.0]
[2026-07-09 17:41:15] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6900000000000001 | freq: [1989940.6666666667, 2896360.0]
[2026-07-09 17:41:15] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6866666666666666 | freq: [3561050.0, 3057583.6666666665]
[2026-07-09 17:41:16] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7000000000000001 | freq: [3225334.6666666665, 3148374.3333333335]
[2026-07-09 17:41:16] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6900000000000001 | freq: [3534185.3333333335, 3367317.0]
[2026-07-09 17:41:16] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7066666666666667 | freq: [1992856.0, 2012053.6666666667]
[2026-07-09 17:41:17] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6933333333333334 | freq: [1730304.0, 1912334.3333333333]
[2026-07-09 17:41:17] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6933333333333334 | freq: [3594864.3333333335, 3031920.0]
[2026-07-09 17:41:17] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [2157949.6666666665, 2231535.0]
[2026-07-09 17:41:18] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6933333333333334 | freq: [4244378.333333333, 3558788.3333333335]
[2026-07-09 17:41:18] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6933333333333334 | freq: [2391700.0, 2687446.0]
[2026-07-09 17:41:18] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6933333333333334 | freq: [2250416.6666666665, 2765165.6666666665]
[2026-07-09 17:41:19] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6933333333333334 | freq: [1972531.0, 3013594.0]
[2026-07-09 17:41:19] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6933333333333334 | freq: [3528128.3333333335, 3088730.3333333335]
[2026-07-09 17:41:19] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6933333333333334 | freq: [3168431.6666666665, 3227699.6666666665]
[2026-07-09 17:41:20] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.68 | freq: [3551466.0, 2600357.0]
[2026-07-09 17:41:20] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.68 | freq: [1992856.0, 2000292.3333333333]
[2026-07-09 17:41:20] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.68 | freq: [1797253.0, 1922977.3333333333]
[2026-07-09 17:41:21] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6933333333333334 | freq: [3599976.0, 3457580.3333333335]
