,sta0_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta1,training_time_sta1,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,host_consumption_sta9,training_time_sta9,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta1,mean_acc
10,,,,,,,,,,,,1.2431706505924642e-07,77022691.0,0.6918277740478516,78113081.0,0.6614971160888672,112011127.0,1.0350775718688965,154658540.0,1.480515480041504,,,176079933.0,1.995203971862793,175728676.0,1.9326756000518799,141526188.0,1.2834253311157227,165367435.0,1.668884038925171,152974706.0,1.4304165840148926,168925104.0,1.8511693477630615,4883.02394284268,4289.9042550658505,4837.357771023535,4794.534762829076,4591.893785453949,4019.69357848786,3932.1119003001354,3703.279731152546,3894.3277353882204,3866.2221467468376,3718.148036964881,0.8183862512761896
11,,,,,,,,,,,,7.653978272995122e-08,66828442.0,0.6254706382751465,79160075.0,0.7007992267608643,95293213.0,0.9211821556091309,96245237.0,0.9025006294250488,119391418.0,1.241361379623413,146678152.0,1.90362548828125,149784834.0,1.9504191875457764,119969419.0,1.2133193016052246,,,146526481.0,1.8715319633483887,,,5274.293556199794,4673.503922289052,5116.818689027385,5090.231154949583,5024.731558622749,4392.816853601758,4188.5711068483515,3991.2884006464974,4091.104902626945,4208.881391584664,3882.8066567229334,0.8443725217472423
12,,,,,,,,,,,,1.2857589899667468e-07,60024261.0,0.6263253688812256,62547142.0,0.6165096759796143,90664868.0,1.0038282871246338,121313288.0,1.4767954349517822,107117158.0,1.2291736602783203,145465265.0,2.0920703411102295,141932009.0,1.9084415435791016,136933975.0,1.7981595993041992,131124908.0,1.6592020988464355,147333241.0,2.1171257495880127,,,5752.8948321088865,4875.402750245773,5514.267032648137,5484.454830706074,5283.797572485607,4650.356001043763,4615.055967152866,4288.733736820982,4379.022592768383,4366.981769603448,4263.18790100248,0.8961315805261786
13,,,,,,,,,,,,7.79194409848813e-08,64889055.0,0.6134622097015381,70071110.0,0.6184303760528564,149056320.0,1.4251322746276855,151507303.0,1.4476447105407715,,,141227422.0,1.2725324630737305,141896732.0,1.3147735595703125,,,157840721.0,1.5761127471923828,149985028.0,1.399280309677124,159607929.0,1.7553582191467285,6066.281902140862,5274.283983465872,5909.643028147566,5809.274268089383,5721.783646685037,5064.277405058991,4916.373880162577,4660.591974060346,4572.704640783244,4662.388137055203,4420.449121703649,0.8549393009055745
14,,,,,,,,,,,,7.667017778064587e-08,86423362.0,0.793358325958252,76538256.0,0.6724646091461182,116675604.0,1.0799565315246582,162886729.0,1.489717721939087,146089592.0,1.2465851306915283,161291579.0,1.4265828132629395,156495449.0,1.4057412147521973,,,166448671.0,1.524172306060791,187806648.0,2.0516088008880615,172350328.0,1.6714956760406494,6517.202576437084,5617.251038918707,6269.256137282189,6205.16792049332,6107.770127435352,5391.346005992625,5156.1648651766745,4905.664776735803,4822.264158687133,5015.970692812768,4713.055593304871,0.9338379231366244
15,,,,,,,,,,,,1.2331895569831015e-07,63030845.0,0.6320979595184326,76385669.0,0.7259328365325928,147481495.0,1.5111346244812012,146541556.0,1.48854660987854,135495137.0,1.3015742301940918,162143506.0,1.9838085174560547,163322763.0,1.9487643241882324,153498081.0,1.6740646362304688,142967835.0,1.4395253658294678,142391786.0,1.4051082134246826,,,6981.656579589238,5895.769352124265,6566.135501919272,6577.176556731705,6396.21378418548,5752.68554236908,5311.036858218564,5265.37455169999,5080.549757803254,5406.885101095033,4860.17289636379,0.9392402063716542
16,,,,,,,,,,,,1.2013294764005944e-07,65325700.0,0.5986146926879883,70941530.0,0.6112921237945557,104777442.0,0.9856281280517578,144748653.0,1.418619155883789,,,133097926.0,1.2225253582000732,,,134629599.0,1.2437632083892822,151850624.0,1.5412516593933105,166644349.0,1.928131103515625,153385533.0,1.6161599159240723,7408.967933282389,6240.617852314385,7022.827021274786,7040.063875402728,6810.8034420542435,5955.4286483627275,5590.278431251683,5678.287215104494,5341.861268574345,5586.897883528614,5115.205986180275,0.899585713039745
17,,,,,,,,,,,,1.0793446371645493e-07,70891664.0,0.6786341667175293,71259217.0,0.6357159614562988,101517990.0,0.9961485862731934,150573162.0,1.5523204803466797,,,135834552.0,1.3220009803771973,170272697.0,1.9521491527557373,159332051.0,1.6741580963134766,161497511.0,1.7206695079803467,171859973.0,2.0106096267700195,153907321.0,1.5881202220916748,7708.925635384251,6669.250100383125,7368.9877341568645,7282.22338992117,7272.271881804554,6414.208432772599,5937.285432506166,5920.006363354538,5513.723692102703,5980.406294377499,5259.389442611158,0.9015749069777402
18,,,,,,,,,,,,1.044645575579793e-07,60012420.0,0.6428399085998535,61181545.0,0.6142890453338623,130381807.0,1.5147960186004639,128952368.0,1.4885663986206055,113791640.0,1.2314341068267822,150903972.0,2.071784257888794,148592881.0,1.9556350708007812,141737003.0,1.7892796993255615,126097273.0,1.4407894611358643,151473917.0,2.060126781463623,,,8170.961670286285,7070.496860726408,7818.6659432999095,7705.077750466287,7739.38212700348,6785.5183822756235,6103.247588885117,6270.404643764034,5836.691042189593,6348.39112215834,5468.654495379803,0.9446091706102545
19,,,,,,,,,,,,7.912386912757976e-08,60805936.0,0.583665132522583,65414201.0,0.5957353115081787,94417056.0,0.9430921077728271,136690995.0,1.5206000804901123,112596331.0,1.108656406402588,120237180.0,1.2065558433532715,,,139286691.0,1.5683982372283936,,,148590257.0,1.8606507778167725,135830706.0,1.5257675647735596,8563.948948933617,7433.985122858868,8107.192794651497,8139.2182892066385,8151.2018441035625,7088.640586336917,6395.0403557902555,6540.451544221914,6092.634431187787,6598.310573752742,5728.960072237941,0.9320266842842102
