,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta1,training_time_sta1,host_consumption_sta2,training_time_sta2,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta0,consumption_sta6,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3
48,,,,,,,,,,,,239318052.0,3.9470841884613037,,,518252762,9.166289806365967,564747944.0,10.143470048904419,591611157.0,10.89197564125061,654431613,13.09046745300293,19312.158028425874,21030.740106046545,21704.81722390972,19339.353708898303,21375.403627481053,17711.700244483716,19305.860538575358,16589.78891331211,19134.273996682638,19261.638275647292,17829.68256174093,0.9682342410087585,533007974.0,9.454316854476929,653317053.0,13.043517351150513,632667143.0,12.227658033370972
49,,,,,,,,,,,,198297283.0,3.824345588684082,,,468564596,10.075189590454102,,,488854034.0,10.603168964385986,553602587,12.746111392974854,19832.119681249285,21437.225423192154,22146.73750803744,19788.538990241308,21779.87067317896,18037.645823781022,19740.542083922104,16914.91354392171,19499.26699210513,19671.47632676571,18204.57320783024,0.9626286788420244,484425457.0,10.489879608154297,552410879.0,12.707679986953735,573192991.0,13.64685869216919
50,,,,,,,,,,,,,,,,361356375,9.798869609832764,,,,,458511887,13.109628438949585,20274.52677394721,21835.493169716166,22532.924565595444,20136.775299855082,22187.828789571406,18277.830610661647,20097.381087060017,17172.679679258577,19847.817378631327,20055.418655620364,18549.603244332593,0.9279149770736694,374163715.0,10.179417610168457,464480623.0,13.325222730636597,464166231.0,13.306402683258057
51,,,,,,,,,,,,,,,,359409541,9.849989652633667,,,,,456774039,13.192637920379639,20710.324147774747,22364.375154983747,23039.09999896969,20552.54253758958,22728.5832782737,18783.438427736328,20453.76900551639,17617.464895645753,20374.54856883573,20616.48177508016,18947.201067708313,0.9244206222620878,368369967.0,10.107443809509277,461438089.0,13.371471643447876,576860828.0,20.62737464904785
52,,,,,,,,,,,,,,,,419328028,8.660237073898315,462768408.0,9.714321613311768,497306039.0,10.85975456237793,547950929,13.222329139709473,21053.56359606053,22777.26902971056,23442.803556383613,20951.720334192414,23125.888912948903,19152.82305668358,20778.864916503404,17956.625377046737,20759.97367796209,20964.197393537564,19273.53042382296,0.9508340900594537,434880906.0,9.025905132293701,,,513671048.0,11.51609468460083
53,,,,,,,,,,,,,,,,358038574,9.782427549362183,,,567681469.0,20.609272241592407,443950646,12.9597008228302,21470.348559636772,23375.102963227295,24011.611545799078,21430.33058169177,23723.018146988128,19644.924835964175,21390.492831186537,18363.014976486986,21199.483564140693,21371.631309483815,19776.935244061544,0.9541231556372209,369143648.0,10.112734079360962,,,451540775.0,13.31749963760376
54,,,,,,,,,,,,,,,,465978361,8.975406885147095,513113006.0,9.9712393283844,553153797.0,11.168355464935303,609412197,13.242233037948608,21735.866632574518,23762.219973841467,24445.174748895937,21817.27199392255,24120.825525115375,20019.104276324953,21799.178006508526,18662.69000512881,21577.449920504187,21686.584634893923,20112.895851476715,0.9580035968260332,480219901.0,9.276532173156738,610146143.0,13.269229888916016,578041672.0,11.998810529708862
55,,,,,,,,,,,,172057055.0,3.674071788787842,,,401205883,9.88394284248352,,,,,488756196,12.846227884292603,22156.87808099317,24168.9129144244,24910.880192760924,22279.910116704992,24524.937264292304,20369.535371002017,22179.159538797463,18980.606992321253,21945.831126799545,22081.212102250243,20470.157766740704,0.966399306600744,409657216.0,10.134557008743286,487275669.0,12.791677474975586,500333009.0,13.39911150932312
56,,,,,,,,,,,,198567607.0,3.784262180328369,,,470623612,10.134862899780273,,,489181914.0,10.631379127502441,553170032,12.777893304824829,22702.135528925894,24586.563611239082,25363.693551519897,22626.086853665052,24930.03725468496,20711.65173898348,22535.6990758039,19288.24460125073,22298.43422476652,22482.4512083691,20828.59883642918,0.9383042292161421,482415880.0,10.443463325500488,550928887.0,12.70511794090271,572516906.0,13.673821926116943
57,,,,,,,,,,,,,,,,421361409,10.0462806224823,,,454079587.0,10.94159746170044,514500331,12.99540376663208,23124.07515856469,24977.22451371239,25796.51256120485,22953.12755193623,25326.46410724142,21063.499374320716,22959.056947770667,19586.671926977982,22653.519538880122,22877.10890509624,21180.32378483287,0.9294164234941656,431579339.0,10.294440984725952,512952178.0,12.936101913452148,529109730.0,13.672953367233276
58,,,,,,,,,,,,,,,,406985165,8.657262086868286,449858956.0,9.724430322647095,,,546225652,13.288217306137085,23418.137584957087,25353.278245750305,26238.025017411255,23371.672323349623,25764.93701654568,21326.46340031637,23310.77756178826,19903.3220638475,23035.758700971655,23253.90371334218,21509.973634830534,0.9537300034002825,420072655.0,8.975355386734009,550909600.0,13.502238035202026,503281792.0,11.579233407974243
59,,,,,,,,,,,,,,,,420780234,10.02954363822937,,,454618770.0,10.964226961135864,513964993,13.042757511138916,23716.506793818233,25731.32117810321,26580.371183793002,23781.021111404258,26210.01606365901,21667.394958195946,23670.23019806871,20223.904075511542,23398.157068399592,23642.67836082437,21847.33489952232,0.9680608077482744,433605213.0,10.35980224609375,513372221.0,13.017830610275269,525958676.0,13.59228253364563
