,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta1_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta6,consumption_sta9,consumption_sta2,consumption_sta0,consumption_sta7,consumption_sta5,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3
20,,,,,,,,,,,,198970377.0,3.8091702461242676,,,489925992.0,10.650447368621826,550268428.0,12.702680349349976,688120736,20.627867698669434,8993.66046447186,8627.88830171687,9657.337881267633,8400.281791482093,9337.29753022141,8336.281792613208,7487.538138455347,7730.826915930743,8415.644685297457,8278.191604490989,7114.04298281921,0.9098105051300742,472986155.0,10.211888551712036,485019632.0,10.526576280593872,,,571114932.0,13.638447761535645
21,,,,,,,,,,,,,,,,,,,,500106691,14.36890172958374,9607.428853911784,9078.663509841817,10231.734937310264,8788.327669560706,9954.043073152416,8988.908303601867,8033.9219471161205,8127.647199167047,8797.689292657355,8812.392699797158,7615.259360116385,0.9261442856355147,369775604.0,8.7794189453125,371543178.0,8.82181453704834,393461639.0,9.466172695159912,602665083.0,20.637377977371216
22,,,,,,,,,,,,,,,,455456231.0,11.080188989639282,510809422.0,12.978947162628174,513754422,13.093690872192383,10009.042612188216,9407.772094714728,10624.754932887636,9114.60278642602,10336.821209279124,9321.050788750932,8353.665370214307,8457.250801140824,9107.539015267374,9075.652863448771,7905.571949281507,0.9380408742211082,423170792.0,10.192078828811646,429410400.0,10.37089490890503,,,524601928.0,13.60104489326477
23,,,,,,,,,,,,,,,,634659692.0,20.638413667678833,508875101.0,13.025806903839111,511430698,13.126360177993774,10641.29071915774,9894.371697150915,11116.830676163872,9729.365583473827,10924.152035220246,9790.633544681585,8748.609022255561,8968.939613527964,9685.112069481096,9597.63765292335,8276.62839209386,0.8980009501630609,418674038.0,10.124666690826416,428536257.0,10.402470111846924,,,523825563.0,13.720137596130371
24,,,,,,,,,,,,,,,,456554740.0,11.111500263214111,511179111.0,13.023285865783691,513514311,13.108771800994873,11064.57885961353,10170.34393027541,11559.667287746599,10146.243034551151,11228.02629520154,10058.157237902991,9059.295875844426,9309.538321395687,10061.65600922296,9942.798988564196,8572.666324733838,0.8943446549502286,421709675.0,10.11800217628479,431396844.0,10.383388757705688,,,525948055.0,13.692067861557007
25,,,,,,,,,,,,,,,,,,550459101.0,13.496703624725342,547716310,13.371742725372314,11399.24155168726,10446.92101698401,12000.614537051744,10487.130306108633,11631.816937354137,10474.22600605289,9424.654165303637,9635.716573776612,10431.301277286113,10324.076878555994,8920.03393656669,0.9273863976651971,418784512.0,8.934454679489136,424710338.0,9.086931705474854,447389480.0,9.65029001235962,507581770.0,11.737339735031128
26,,,,,,,,,,,,174199993.0,3.6755809783935547,,,,,492620687.0,12.80659031867981,493157795,12.82959270477295,11793.265160965857,10829.604828130148,12397.400713493904,10833.776134214824,12051.123574171323,10874.915375418906,9759.382813306138,9992.64223377858,10849.296438305919,10694.084401787384,9227.116104538429,0.9388955398039385,409055715.0,10.027419567108154,417283660.0,10.261121034622192,,,506656539.0,13.423537731170654
27,,,,,,,,,,,,175541665.0,3.6871721744537354,,,428841676.0,10.352103471755981,,,487787570,12.760939359664917,12209.283390948329,11352.59300553116,12796.136721935116,11253.747189291575,12480.552568439132,11157.934142393322,10084.277382370186,10262.576007897793,11207.601178868461,11044.222498055493,9532.331832528196,0.9166307015852495,414676795.0,9.952112913131714,425123973.0,10.231914043426514,,,501666563.0,13.377861261367798
28,,,,,,,,,,,,,,,,,,554837996.0,13.516505241394043,553232531,13.462896347045898,12608.737656757447,11775.668338269477,13211.882211770677,11606.180906353584,12903.140833171392,11570.481886675268,10453.429920119996,10682.487559905587,11556.151271080884,11435.77328685517,9885.616045856143,0.9450014938007701,418745510.0,8.924790620803833,425961251.0,9.07651686668396,449172496.0,9.66765022277832,511071080.0,11.740864276885986
29,,,,,,,,,,,,,,,,563152916.0,11.29911756515503,615342235.0,13.247857093811035,615496898,13.253983974456787,13196.460259802247,12216.625065399998,13813.877195814435,12114.615413604493,13438.72432303206,12356.726060642386,11016.392923959043,11117.114619869182,12034.358062855381,12039.42789865321,10404.074982062235,0.9609986977143721,478092465.0,9.163237810134888,489803251.0,9.410457611083984,517012165.0,10.00723385810852,737744693.0,20.6339430809021
30,,,,,,,,,,,,,,,,457051076.0,11.078099012374878,514493434.0,13.02087688446045,515572044,13.062129735946655,13597.800916198144,12537.608166649276,14215.490105951962,12511.333459198018,13811.23040564373,12766.178193184187,11322.783593824592,11454.838988204081,12415.507981865008,12411.95701894187,10695.863982407702,0.9393602284518155,430065977.0,10.34608769416809,433034536.0,10.4192795753479,,,528165579.0,13.665966272354126
31,,,,,,,,,,,,,,,,461672097.0,11.121695518493652,516803426.0,13.011670589447021,518601882,13.07644271850586,13997.284541031793,12881.134396180045,14663.834705705509,12916.99308737589,14207.001791831903,13110.451336575858,11634.438554208076,11806.952448039125,12797.65045613641,12763.435733940034,10990.575650093475,0.9100999669595198,426471992.0,10.189785718917847,435040085.0,10.402341604232788,,,530708358.0,13.607301950454712
32,,,,,,,,,,,,168437191.0,3.6539080142974854,,,,,486827917.0,12.779587507247925,488534577,12.845081806182861,14414.923592504274,13267.539776496664,15089.992922467703,13294.379784262987,14590.965075846692,13422.387372194333,11949.374576737648,12170.018132606998,13170.748171785013,13037.337419599613,11289.878472760172,0.9155825051394376,403484319.0,10.019176006317139,409425100.0,10.207301139831543,,,501752622.0,13.495895624160767
33,,,,,,,,,,,,,,,,,,463167637.0,13.391844272613525,456743582,13.167020797729492,14846.94796506382,13737.29049060143,15481.406732191312,13587.663483657012,14994.242812431523,13695.105652916995,12271.322116623212,12493.795502774907,13550.118171632166,13386.480444420853,11588.081416070525,0.9209837209094655,361250784.0,9.899466753005981,368907564.0,10.129173517227173,,,464426423.0,13.443907260894775
34,,,,,,,,,,,,,,,,459124862.0,11.167212724685669,513232694.0,12.9865403175354,513476774,12.996708869934082,15234.235626230005,14042.484309588026,15879.45236147517,13941.752497868447,15399.902225284517,14039.726563357372,12587.980722353972,12842.561029642802,13931.911557634443,13737.69364746837,11818.367067868156,0.9100263714790344,419172449.0,10.033182382583618,430273312.0,10.320536851882935,,,526073116.0,13.584527254104614
35,,,,,,,,,,,,,,,,460717754.0,11.130915880203247,515574242.0,13.008086681365967,517354694,13.075194358825684,15614.031954664637,14348.327225239445,16304.682899754236,14353.977393025256,15801.4254217274,14376.839876553906,12842.357043459382,13192.809154942042,14314.313770975497,14086.804566697827,12112.554859429822,0.9097488522529602,426399970.0,10.147039413452148,437094462.0,10.427075386047363,,,529360339.0,13.623891115188599
36,,,,,,,,,,,,,,,,,,,,408720817,14.236706972122192,15994.778074569098,14624.636798641493,16752.3769206652,14684.707860031209,16216.724570979022,14664.415808165846,13163.853077247119,13512.71356064373,14637.480155281082,14437.52635549115,12415.597635027589,0.9079484397714789,303447832.0,9.733375549316406,309987793.0,9.957913875579834,,,387555771.0,13.144311904907227
37,,,,,,,,,,,,171527515.0,3.648357629776001,,,,,491506249.0,12.836096286773682,488566132,12.731522798538208,16404.949543466646,15028.582398982548,17121.36048405545,14973.961365368821,16627.076853849558,14949.903815202766,13479.950762811282,13858.307229985872,14980.747288380853,14779.585737186553,12734.498626110155,0.9243089556694031,405916502.0,9.947877645492554,414037698.0,10.186479330062866,,,504500723.0,13.449512004852295
