,sta0_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta2_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta7_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta0,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7
32,,,,,,,,,,,,9.377618412652269e-08,74232110.0,0.6646661758422852,,,102624737.0,0.9387547969818115,133347559.0,1.260152816772461,131991301.0,1.21537184715271,160193559.0,1.7934010028839111,140852544.0,1.3458499908447266,96968990.0,0.8819901943206787,13795.46778806964,11163.58727966059,13410.105818174505,10197.617197234213,12959.386907946095,12459.596427639242,11416.75654927252,9306.29686548008,10463.2662800777,10757.751533605186,9759.769072277091,0.9532089829444885,156930689.0,1.8051395416259766,,,165370915.0,2.021087646484375
33,,,,,,,,,,,,1.207209732040029e-07,62622459.0,0.6072168350219727,,,108725735.0,1.0262725353240967,,,143760557.0,1.2933416366577148,151156168.0,1.3918766975402832,157599083.0,1.4751415252685547,103544840.0,0.9737186431884766,14067.572858578562,11554.906108857007,13896.706409912815,10592.319473251358,13241.509267370418,12890.739674739783,11861.536045428207,9553.259700454797,10700.912829385894,11099.897464144015,10010.636667213628,0.9552963484417308,174803019.0,1.9555423259735107,158385398.0,1.471726894378662,177159276.0,1.972351312637329
34,,,,,,,,,,,,1.0740621722737184e-07,73089901.0,0.6965408325195312,71248291.0,0.6352908611297607,,,,,152207313.0,1.632897138595581,161821912.0,1.8665087223052979,139097971.0,1.3854904174804688,96015440.0,0.9184954166412354,14543.680433273415,11922.004820335309,14345.40950782224,10796.473952608358,13627.120988316557,13296.868392663224,12282.453875359271,9807.318660063489,11102.185866649108,11514.330777607562,10265.915162467927,0.9561141566796736,157251795.0,1.8066306114196777,140934393.0,1.3895175457000732,162574840.0,1.9427392482757568
35,,,,,,,,,,,,9.541245664813963e-08,,,66148513.0,0.6013162136077881,95236695.0,0.9405715465545654,130813080.0,1.242847204208374,128074257.0,1.2264404296875,158302573.0,1.8411598205566406,140331244.0,1.4082236289978027,140579901.0,1.417771577835083,14927.975253453993,12183.827340941896,14654.660785300402,11081.441526326555,14052.495782193802,13533.467994774626,12599.573643718064,10142.532390339613,11376.875342891612,11848.670235637077,10509.014649167832,0.9573638114062223,153090123.0,1.7709951400756836,161768019.0,1.9665229320526123,,
36,,,,,,,,,,,,1.7363303702763978e-07,74554863.0,0.6758885383605957,81444737.0,0.6987195014953613,108534085.0,1.000572681427002,,,165421757.0,1.7946763038635254,143714537.0,1.3815791606903076,149935346.0,1.4742815494537354,103885843.0,0.9495432376861572,15253.331597722648,12532.908550180611,15141.119335678086,11476.265817059475,14495.269537742639,13903.045955921776,12951.489736103254,10441.710247776984,11681.824116583475,12124.096530332949,10682.459816188544,0.9596328626979481,165414005.0,1.8687546253204346,175115153.0,2.0365443229675293,176583288.0,2.1202516555786133
37,,,,,,,,,,,,9.953475864169435e-08,75196707.0,0.7070126533508301,81252477.0,0.7109940052032471,160737625.0,1.4835033416748047,141486271.0,1.1937940120697021,150845683.0,1.3195853233337402,158076805.0,1.419217586517334,171009816.0,1.6662545204162598,159616840.0,1.460186243057251,15560.610758328505,12975.504377493196,15517.212760110346,11827.694191570548,14920.514336447572,14338.732143821584,13192.925376847354,10725.13669305836,12115.341909582172,12326.494344662875,10986.272943761523,0.9601363648067821,,,164140754.0,1.502129316329956,178708588.0,2.016707181930542
38,,,,,,,,,,,,1.0909870231864603e-07,80656593.0,0.7457118034362793,79481486.0,0.6962161064147949,112593034.0,1.0583012104034424,,,149867659.0,1.3863334655761719,179644437.0,1.954129695892334,169052240.0,1.711169719696045,106804719.0,1.00022292137146,15990.757081028167,13316.647292302805,15931.99392322627,12054.587359090554,15170.22498911752,14644.431836186219,13608.211834948039,10859.594618162148,12317.874982678879,12702.013377152238,11268.546547368564,0.961466523734006,164957464.0,1.6390924453735352,182875081.0,2.0520458221435547,149315108.0,1.372929573059082
39,,,,,,,,,,,,1.1030045793336046e-07,66073928.0,0.6710708141326904,66282362.0,0.6332776546478271,128521460.0,1.5233325958251953,106733674.0,1.1522407531738281,141465031.0,1.7520649433135986,149087509.0,1.929426670074463,137906080.0,1.6772563457489014,92299629.0,0.9845521450042725,16424.030436122383,13741.987662938656,16340.231377954717,12320.865874919496,15563.148603034824,15072.074945549695,14068.020368343037,11076.738152901771,12647.767056877787,13049.579814163148,11596.93605982576,0.9626573107459329,,,155198455.0,2.124084234237671,152660193.0,2.0703673362731934
40,,,,,,,,,,,,7.998934448546962e-08,,,37515407.0,0.4891703128814697,89259903.0,1.2974669933319092,73148434.0,0.9637038707733154,,,,,83528716.0,1.1535699367523193,89912062.0,1.3017127513885498,16831.87662738842,13984.208843420542,16630.21096989182,12517.495267229517,15964.960242153202,15323.200416889922,14361.286979359185,11425.63688487123,12929.740787693067,13332.143039516039,11833.437356175162,0.9639317718419161,91617869.0,1.3828134536743164,,,,
41,,,,,,,,,,,,9.456110281468048e-08,54953045.0,0.5556886196136475,62122339.0,0.587552547454834,135471333.0,1.5098950862884521,114578381.0,1.142892837524414,,,149110946.0,1.9419565200805664,142863831.0,1.6815752983093262,134159752.0,1.4810357093811035,17043.433044621313,14335.436767512803,17008.2332127831,12817.612382186595,16422.98648414522,15713.187479402974,14565.220085108169,11691.250955676776,13169.528532311831,13501.227365163633,12009.850050556588,0.9643201936375011,,,127215006.0,1.3238213062286377,118782349.0,1.2021534442901611
42,,,,,,,,,,,,9.325641395176266e-08,55443767.0,0.6073861122131348,59822479.0,0.6130838394165039,128377662.0,1.4990661144256592,112889664.0,1.2320244312286377,143467711.0,1.7848501205444336,150619609.0,1.959670066833496,134182090.0,1.5608391761779785,128751379.0,1.4964067935943604,17408.289898765936,14720.791260494545,17392.22095088825,13058.87308603356,16814.377389796882,16115.107276763114,14888.44694153798,11905.592605987456,13349.05454021695,13757.181749041634,12370.139986812075,0.9653978564522483,,,153908114.0,2.0781302452087402,153586704.0,2.110524892807007
43,,,,,,,,,,,,1.2961306142468172e-07,73607539.0,0.6636881828308105,82663118.0,0.704073429107666,115745858.0,1.060790777206421,136510027.0,1.2259376049041748,143109008.0,1.308319091796875,169188471.0,1.8898465633392334,150113874.0,1.4147379398345947,108066252.0,0.983879566192627,17858.612563872422,15059.300813611511,17784.605395147864,13288.06576498319,17212.19762369649,16473.88790028231,15201.929637512512,12119.17332042133,13767.984568891785,14044.753159096603,12605.512605394186,0.9656331214037809,,,172925338.0,2.0015170574188232,177185399.0,2.194185256958008
44,,,,,,,,,,,,1.5036370952521656e-07,77675033.0,0.7321157455444336,72712338.0,0.645097017288208,158590048.0,1.4969420433044434,142995972.0,1.2450146675109863,168046140.0,1.6725330352783203,179937161.0,2.0361006259918213,159939470.0,1.492478847503662,161191787.0,1.5191552639007568,18353.54273603212,15446.356763118567,18213.06432535592,13687.614585378313,17505.363741879904,16916.166535707285,15615.072651095245,12339.077886194129,13973.311194579534,14404.278033506402,12870.642119581304,0.9665753516283903,,,162175794.0,1.502035140991211,147563099.0,1.319856882095337
45,,,,,,,,,,,,1.1688578161324147e-07,57437414.0,0.5640926361083984,72251646.0,0.679457426071167,127376505.0,1.4257440567016602,115897713.0,1.240053653717041,,,142883118.0,1.8580987453460693,134851583.0,1.599660873413086,83437348.0,0.8485076427459717,18767.08834496357,15682.873126244918,18503.737015546983,13849.694919399488,17913.373845478825,17150.121512413625,15944.157153477818,12563.920274253387,14248.042429812773,14787.411696370067,13206.692364485112,0.9671813412146135,,,121076961.0,1.2983708381652832,142084536.0,1.9231183528900146
46,,,,,,,,,,,,1.452105368297175e-07,,,47309511.0,0.579007625579834,105912388.0,1.4705471992492676,,,89956678.0,1.145420789718628,125496138.0,1.9395766258239746,114698681.0,1.6305088996887207,107372711.0,1.4769809246063232,19064.93428395031,16032.85611231014,18931.33534115415,14133.972072899534,18165.139281965585,17502.898458545053,16158.036100305893,12875.95887893801,14435.481226611406,15046.01281402233,13384.037683192193,0.9683454957875338,117849429.0,1.7371268272399902,126644512.0,1.9822125434875488,,
