[2026-07-06 08:53:21] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3747465.6666666665, 3846892.6666666665]
[2026-07-06 08:53:21] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7000000000000001 | freq: [3878271.6666666665, 3964132.3333333335]
[2026-07-06 08:53:21] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7000000000000001 | freq: [3810761.6666666665, 3795498.0]
[2026-07-06 08:53:22] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7000000000000001 | freq: [1999993.6666666667, 2826658.3333333335]
[2026-07-06 08:53:22] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7000000000000001 | freq: [1766698.0, 2662650.3333333335]
[2026-07-06 08:53:22] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6900000000000001 | freq: [3589562.0, 3168877.6666666665]
[2026-07-06 08:53:23] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [2299991.3333333335, 2667664.3333333335]
[2026-07-06 08:53:23] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.68 | freq: [3573060.3333333335, 3156912.6666666665]
[2026-07-06 08:53:23] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6900000000000001 | freq: [2394481.0, 2686850.3333333335]
[2026-07-06 08:53:24] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6900000000000001 | freq: [2690671.0, 2744970.3333333335]
[2026-07-06 08:53:24] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6900000000000001 | freq: [1973600.6666666667, 2668877.0]
[2026-07-06 08:53:24] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6900000000000001 | freq: [3386909.6666666665, 3531430.0]
[2026-07-06 08:53:25] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6900000000000001 | freq: [3568950.0, 3540104.3333333335]
[2026-07-06 08:53:25] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7000000000000001 | freq: [3803617.3333333335, 3820975.3333333335]
[2026-07-06 08:53:25] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6900000000000001 | freq: [1920643.0, 2544591.6666666665]
[2026-07-06 08:53:26] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7000000000000001 | freq: [1766691.3333333333, 2894232.3333333335]
[2026-07-06 08:53:26] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6900000000000001 | freq: [3533405.0, 3271173.3333333335]
[2026-07-06 08:53:26] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6900000000000001 | freq: [2300000.0, 2906958.3333333335]
[2026-07-06 08:53:27] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6900000000000001 | freq: [3608027.3333333335, 3254732.6666666665]
[2026-07-06 08:53:27] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6966666666666667 | freq: [2394464.0, 2849680.0]
[2026-07-06 08:53:28] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7033333333333333 | freq: [2579072.3333333335, 2967624.3333333335]
[2026-07-06 08:53:28] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6999999999999998 | freq: [2000015.6666666667, 3013802.3333333335]
[2026-07-06 08:53:28] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6999999999999998 | freq: [3438295.3333333335, 3476312.0]
[2026-07-06 08:53:29] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6999999999999998 | freq: [3502012.3333333335, 3447189.6666666665]
[2026-07-06 08:53:29] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6999999999999998 | freq: [3850748.3333333335, 3809278.3333333335]
[2026-07-06 08:53:30] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6999999999999998 | freq: [1920636.3333333333, 2708075.0]
[2026-07-06 08:53:30] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6999999999999998 | freq: [1736349.3333333333, 3030253.3333333335]
[2026-07-06 08:53:30] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6999999999999998 | freq: [3514512.6666666665, 3394830.6666666665]
[2026-07-06 08:53:31] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6999999999999998 | freq: [2296829.6666666665, 2763588.6666666665]
[2026-07-06 08:53:31] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6999999999999998 | freq: [3604218.6666666665, 3378588.6666666665]
[2026-07-06 08:53:32] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6999999999999998 | freq: [2308060.0, 2856156.0]
[2026-07-06 08:53:32] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6999999999999998 | freq: [2588320.3333333335, 2964040.3333333335]
[2026-07-06 08:53:32] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6999999999999998 | freq: [1999986.0, 3139938.0]
[2026-07-06 08:53:33] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6999999999999998 | freq: [3692685.6666666665, 3570011.6666666665]
[2026-07-06 08:53:33] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6999999999999998 | freq: [3651308.0, 3486981.0]
[2026-07-06 08:53:33] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6999999999999998 | freq: [3920936.0, 3901682.0]
[2026-07-06 08:53:34] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [1920656.6666666667, 2744391.3333333335]
[2026-07-06 08:53:34] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [1736731.6666666667, 3397419.6666666665]
[2026-07-06 08:53:34] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7033333333333333 | freq: [3514877.3333333335, 3501108.3333333335]
[2026-07-06 08:53:35] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6999999999999998 | freq: [2282545.6666666665, 2830405.0]
[2026-07-06 08:53:35] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6999999999999998 | freq: [3693832.6666666665, 3364539.3333333335]
[2026-07-06 08:53:35] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6999999999999998 | freq: [2307054.6666666665, 2868710.0]
[2026-07-06 08:53:36] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6999999999999998 | freq: [2588320.3333333335, 3113843.6666666665]
[2026-07-06 08:53:36] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [1943912.3333333333, 3099494.6666666665]
[2026-07-06 08:53:36] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7066666666666667 | freq: [3939670.6666666665, 3853515.6666666665]
[2026-07-06 08:53:37] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3684976.3333333335, 3724240.6666666665]
[2026-07-06 08:53:37] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7000000000000001 | freq: [4021794.6666666665, 3803208.3333333335]
[2026-07-06 08:53:37] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6900000000000001 | freq: [2000007.3333333333, 3116362.3333333335]
[2026-07-06 08:53:38] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6900000000000001 | freq: [1736731.6666666667, 3395538.0]
[2026-07-06 08:53:38] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6900000000000001 | freq: [3521157.3333333335, 3307654.3333333335]
[2026-07-06 08:53:38] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6900000000000001 | freq: [2263176.0, 2418670.3333333335]
[2026-07-06 08:53:39] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.68 | freq: [3687148.0, 3370391.0]
[2026-07-06 08:53:39] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.68 | freq: [2307052.3333333335, 2472791.0]
[2026-07-06 08:53:39] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.68 | freq: [2700000.0, 2754181.3333333335]
[2026-07-06 08:53:40] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6900000000000001 | freq: [1943919.3333333333, 2704078.0]
[2026-07-06 08:53:40] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6900000000000001 | freq: [3526852.3333333335, 3570954.0]
[2026-07-06 08:53:40] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6900000000000001 | freq: [3699195.3333333335, 3489178.6666666665]
[2026-07-06 08:53:41] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.68 | freq: [4007176.3333333335, 3758285.0]
[2026-07-06 08:53:41] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.68 | freq: [2000007.3333333333, 2680715.0]
[2026-07-06 08:53:41] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6900000000000001 | freq: [1793650.3333333333, 2923405.0]
[2026-07-06 08:53:42] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6900000000000001 | freq: [3469855.3333333335, 3307428.6666666665]
[2026-07-06 08:53:42] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6900000000000001 | freq: [2266346.3333333335, 2333990.3333333335]
[2026-07-06 08:53:42] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6900000000000001 | freq: [3649407.6666666665, 3253589.0]
[2026-07-06 08:53:43] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6900000000000001 | freq: [2393427.3333333335, 2201958.6666666665]
[2026-07-06 08:53:43] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7000000000000001 | freq: [2700018.6666666665, 2970758.3333333335]
[2026-07-06 08:53:44] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [1934217.6666666667, 2822811.6666666665]
[2026-07-06 08:53:44] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7033333333333333 | freq: [3453384.0, 3607239.0]
[2026-07-06 08:53:44] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6999999999999998 | freq: [3702327.0, 3584629.0]
[2026-07-06 08:53:45] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6999999999999998 | freq: [4041722.0, 3912182.0]
[2026-07-06 08:53:45] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6999999999999998 | freq: [2000000.0, 3000228.3333333335]
[2026-07-06 08:53:46] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6999999999999998 | freq: [1770587.6666666667, 2772191.3333333335]
[2026-07-06 08:53:46] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6999999999999998 | freq: [3406384.6666666665, 3307414.3333333335]
[2026-07-06 08:53:46] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6999999999999998 | freq: [2233468.0, 2651117.6666666665]
[2026-07-06 08:53:47] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6999999999999998 | freq: [3649407.6666666665, 3427761.3333333335]
[2026-07-06 08:53:47] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6999999999999998 | freq: [2399997.3333333335, 2589634.6666666665]
[2026-07-06 08:53:48] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6999999999999998 | freq: [2696500.6666666665, 3179869.0]
[2026-07-06 08:53:48] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6999999999999998 | freq: [1979187.0, 2967852.3333333335]
[2026-07-06 08:53:48] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6999999999999998 | freq: [3510066.0, 3772958.3333333335]
[2026-07-06 08:53:49] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6999999999999998 | freq: [3745704.0, 3682166.6666666665]
[2026-07-06 08:53:49] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6999999999999998 | freq: [3882055.6666666665, 3994828.3333333335]
[2026-07-06 08:53:49] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6999999999999998 | freq: [2000000.0, 3000835.6666666665]
[2026-07-06 08:53:50] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6999999999999998 | freq: [1770581.6666666667, 2792626.3333333335]
[2026-07-06 08:53:50] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6999999999999998 | freq: [3403749.3333333335, 3500896.3333333335]
[2026-07-06 08:53:50] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6999999999999998 | freq: [2251809.6666666665, 3062836.3333333335]
[2026-07-06 08:53:51] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6999999999999998 | freq: [3658539.3333333335, 3484444.0]
[2026-07-06 08:53:51] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6999999999999998 | freq: [2353455.0, 2674187.6666666665]
[2026-07-06 08:53:51] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6999999999999998 | freq: [2692339.0, 3239274.6666666665]
[2026-07-06 08:53:52] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6999999999999998 | freq: [1979187.0, 3101746.3333333335]
[2026-07-06 08:53:52] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6999999999999998 | freq: [3828193.6666666665, 3957088.0]
[2026-07-06 08:53:52] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6999999999999998 | freq: [3839175.6666666665, 3907077.3333333335]
[2026-07-06 08:53:53] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6999999999999998 | freq: [3773672.6666666665, 3939008.3333333335]
[2026-07-06 08:53:53] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6999999999999998 | freq: [2000007.0, 3412758.3333333335]
[2026-07-06 08:53:53] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6933333333333334 | freq: [1776931.3333333333, 3115869.3333333335]
[2026-07-06 08:53:54] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6866666666666666 | freq: [3482881.0, 3332863.0]
[2026-07-06 08:53:54] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [2247981.6666666665, 3398366.3333333335]
[2026-07-06 08:53:54] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.68 | freq: [3700103.6666666665, 3282619.3333333335]
[2026-07-06 08:53:55] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.68 | freq: [2347813.3333333335, 2985274.6666666665]
[2026-07-06 08:53:55] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.68 | freq: [2686764.6666666665, 2969223.6666666665]
[2026-07-06 08:53:55] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6900000000000001 | freq: [1951528.0, 2829841.0]
[2026-07-06 08:53:56] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7000000000000001 | freq: [3541481.0, 3845757.3333333335]
[2026-07-06 08:53:56] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7000000000000001 | freq: [3713954.6666666665, 3744522.0]
[2026-07-06 08:53:56] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7000000000000001 | freq: [3642676.3333333335, 3692015.3333333335]
[2026-07-06 08:53:57] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7000000000000001 | freq: [2000007.0, 3043159.0]
[2026-07-06 08:53:57] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7000000000000001 | freq: [1799994.0, 2751280.3333333335]
[2026-07-06 08:53:57] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6900000000000001 | freq: [3477732.0, 3332853.3333333335]
