[2026-07-10 12:31:23] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6933333333333334 | freq: [2858887.0, 2061702.0]
[2026-07-10 12:31:23] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6933333333333334 | freq: [2297016.0, 2284514.0]
[2026-07-10 12:31:23] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [3350610.6666666665, 2746961.3333333335]
[2026-07-10 12:31:24] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2098615.3333333335, 2012397.6666666667]
[2026-07-10 12:31:24] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [2266011.6666666665, 2317635.0]
[2026-07-10 12:31:24] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [1912819.6666666667, 2336728.6666666665]
[2026-07-10 12:31:25] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [2947658.0, 3063002.0]
[2026-07-10 12:31:25] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3611746.0, 3634617.3333333335]
[2026-07-10 12:31:25] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3297825.3333333335, 3110720.0]
[2026-07-10 12:31:26] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [3130473.3333333335, 2947441.0]
[2026-07-10 12:31:26] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [2998714.6666666665, 2112574.6666666665]
[2026-07-10 12:31:26] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6966666666666667 | freq: [2822180.3333333335, 2473189.0]
[2026-07-10 12:31:27] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [2228508.3333333335, 2320877.6666666665]
[2026-07-10 12:31:27] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [3407715.0, 2729052.0]
[2026-07-10 12:31:27] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2096432.6666666667, 2024513.3333333333]
[2026-07-10 12:31:28] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [2266676.0, 2426800.6666666665]
[2026-07-10 12:31:28] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [1912819.6666666667, 3236058.0]
[2026-07-10 12:31:28] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.71 | freq: [3472738.6666666665, 3710361.0]
[2026-07-10 12:31:29] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3368968.6666666665, 3392102.6666666665]
[2026-07-10 12:31:29] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3395276.6666666665, 3247610.3333333335]
[2026-07-10 12:31:29] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [2000000.0, 2082230.6666666667]
[2026-07-10 12:31:30] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7000000000000001 | freq: [1799984.3333333333, 1694412.3333333333]
[2026-07-10 12:31:30] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7000000000000001 | freq: [3563293.6666666665, 2885473.3333333335]
[2026-07-10 12:31:31] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6933333333333334 | freq: [2231479.3333333335, 2331512.6666666665]
[2026-07-10 12:31:31] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [3486351.0, 3181639.6666666665]
[2026-07-10 12:31:31] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7033333333333333 | freq: [2397799.0, 2297017.3333333335]
[2026-07-10 12:31:32] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [2700000.0, 2661940.6666666665]
[2026-07-10 12:31:32] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.71 | freq: [2000000.0, 3297704.3333333335]
[2026-07-10 12:31:32] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7000000000000001 | freq: [3401381.0, 3677899.6666666665]
[2026-07-10 12:31:33] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7000000000000001 | freq: [3335102.0, 3273161.0]
[2026-07-10 12:31:33] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6933333333333334 | freq: [3396791.0, 2973926.3333333335]
[2026-07-10 12:31:33] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6966666666666667 | freq: [1988933.6666666667, 1988504.0]
[2026-07-10 12:31:34] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6966666666666667 | freq: [1799978.3333333333, 1756124.6666666667]
[2026-07-10 12:31:34] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6966666666666667 | freq: [3550608.6666666665, 2765908.6666666665]
[2026-07-10 12:31:34] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [2231486.6666666665, 2295270.0]
[2026-07-10 12:31:35] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.69 | freq: [3610720.3333333335, 3113718.0]
[2026-07-10 12:31:35] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.69 | freq: [2397799.0, 2594036.0]
[2026-07-10 12:31:35] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6966666666666667 | freq: [2565282.3333333335, 2651676.3333333335]
[2026-07-10 12:31:36] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [1941776.0, 3079906.3333333335]
[2026-07-10 12:31:36] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6966666666666667 | freq: [3436135.3333333335, 3355092.0]
[2026-07-10 12:31:36] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6966666666666667 | freq: [3345474.6666666665, 3239576.0]
[2026-07-10 12:31:37] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7033333333333333 | freq: [3466533.6666666665, 2622134.6666666665]
[2026-07-10 12:31:37] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [1988933.6666666667, 2030875.3333333333]
[2026-07-10 12:31:37] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6966666666666667 | freq: [1784829.3333333333, 1756162.0]
[2026-07-10 12:31:38] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.69 | freq: [3583588.6666666665, 2689572.3333333335]
[2026-07-10 12:31:38] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.87 | freq: [1946265.0, 3049369.3333333335]
[2026-07-10 12:31:39] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.05 | freq: [4217382.666666667, 3122622.3333333335]
[2026-07-10 12:31:39] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.0466666666666666 | freq: [2399991.6666666665, 2662864.3333333335]
[2026-07-10 12:31:39] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.8633333333333333 | freq: [2565282.3333333335, 2661605.3333333335]
[2026-07-10 12:31:40] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.86 | freq: [1808450.6666666667, 2445650.3333333335]
[2026-07-10 12:31:40] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.86 | freq: [2735775.0, 2656365.3333333335]
[2026-07-10 12:31:40] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.8633333333333333 | freq: [3249191.0, 3170153.3333333335]
[2026-07-10 12:31:41] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6833333333333332 | freq: [3384845.0, 2466198.3333333335]
[2026-07-10 12:31:41] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.8633333333333333 | freq: [3125549.6666666665, 2762653.3333333335]
[2026-07-10 12:31:41] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.8633333333333333 | freq: [1784839.0, 1794826.3333333333]
[2026-07-10 12:31:42] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.8666666666666666 | freq: [3518598.3333333335, 2754233.6666666665]
[2026-07-10 12:31:42] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [1946270.0, 3026506.3333333335]
[2026-07-10 12:31:42] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [4233653.333333333, 2862974.6666666665]
[2026-07-10 12:31:43] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2400000.0, 2545107.6666666665]
[2026-07-10 12:31:43] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7033333333333333 | freq: [2565282.3333333335, 2720131.0]
[2026-07-10 12:31:43] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [1808450.6666666667, 2400827.6666666665]
[2026-07-10 12:31:44] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6933333333333334 | freq: [2812932.6666666665, 2815274.3333333335]
[2026-07-10 12:31:44] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6933333333333334 | freq: [3248238.6666666665, 3233254.0]
[2026-07-10 12:31:44] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6866666666666666 | freq: [3403298.6666666665, 2864576.6666666665]
