,sta0_datasz,sta2_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta10_datasz,sta8_datasz,sta6_datasz,sta7_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta0,training_time_sta0,host_consumption_sta8,training_time_sta8,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta1,consumption_sta3,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta7,consumption_sta5,mean_acc,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta10,training_time_sta10,host_consumption_sta9,training_time_sta9
20,,,,,,,,,,,,8.201631960115105e-08,45251959.0,0.5292551517486572,89605056.0,1.4225287437438965,45872135.0,0.510918140411377,,,,,60443327.0,0.7395036220550537,8009.811821718268,7013.745197554081,7490.113814975379,7240.4538804701415,5509.119366348673,6038.583304895861,7194.678927589628,6815.543327930664,5849.91493208922,5695.317357278812,6104.95712658805,0.932572294365276,75616811.0,1.0003509521484375,97690729.0,1.8217520713806152,,,,,,
21,,,,,,,,,,,,7.972053705549661e-08,,,64713274.0,0.7527151107788086,47596619.0,0.5075793266296387,,,,,59724456.0,0.6811397075653076,8252.956667998666,7208.86276145653,7860.505956430511,7621.678385209327,5844.178071015346,6278.6404583214,7451.287000576531,7040.744167843699,6088.469345649444,5855.858384466065,6281.01967998606,0.9348147674040361,78021040.0,0.9987854957580566,,,99429189.0,1.7956855297088623,,,,
22,,,,,,,,,,,,1.041102008270807e-07,,,70039189.0,0.7762746810913086,68588265.0,0.7142488956451416,96648739.0,1.0744431018829346,100306689.0,1.1517927646636963,,,8645.360147946403,7638.937141614225,8116.527493915282,7870.561571736172,6065.868548676266,6451.851423206284,7864.651701696081,7372.955958593653,6316.5839971496935,6144.275392345914,6567.6655784584145,0.9367767680775035,92677192.0,1.0117688179016113,,,,,,,,
23,,,,,,,,,,,,8.547437344963103e-08,,,72694883.0,0.7776026725769043,,,,,106159152.0,1.3463242053985596,68743110.0,0.7287964820861816,8981.313116549563,7861.516039277861,8510.46647650567,8371.691974923084,6412.378534233306,6877.253964638329,8127.996535737779,7621.016031436733,6590.694329425357,6299.486978474679,6816.48501725535,0.9399581985040144,,,93829594.0,1.0385713577270508,97803094.0,1.105712652206421,,,,
24,,,,,,,,,,,,8.761008139080298e-08,44652230.0,0.4729597568511963,69208868.0,0.7800395488739014,66365919.0,0.7200450897216797,,,,,65691238.0,0.7138197422027588,9253.123558618332,8195.521642072363,8907.904546315976,8661.778921463292,6785.887329770049,7081.04809097978,8521.360321767497,7948.306780312624,6942.682110619041,6536.012372425648,7013.153676100034,0.9404984333298423,,,82724398.0,1.0376019477844238,104111977.0,1.7686107158660889,,,,
25,,,,,,,,,,,,7.8835442935538e-08,,,,,,,112445268.0,2.063619613647461,,,99664784.0,1.5414974689483643,9776.928224934994,8541.206295897662,9233.998201441742,9019.534094719142,6948.120431642265,7415.820929543722,8860.614008044127,8269.707618732378,7099.495082641624,6914.186575210573,7375.53079953466,0.9438853534785184,80867835.0,1.0121824741363525,83407379.0,1.040114402770996,86524070.0,1.104654312133789,,,,
26,,,,,,,,,,,,1.2860477736946195e-07,,,,,47176209.0,0.49597692489624023,84388761.0,1.0181424617767334,,,61047146.0,0.7011468410491943,10088.517008652705,8765.898386610683,9503.598007117032,9334.155868619302,7171.495130385248,7679.722770498495,9114.600717430485,8645.505337091161,7324.545719103491,7143.389692895721,7751.741168276727,0.9457684430209073,,,105759251.0,1.8136489391326904,88134968.0,1.0814979076385498,,,,
27,,,,,,,,,,,,8.820506550551843e-08,,,50341546.0,0.7720897197723389,34158543.0,0.4816703796386719,89921645.0,1.8520824909210205,,,73179866.0,1.3477752208709717,10332.258857717472,9089.265917620425,9911.475404889434,9539.990766623674,7375.549673486699,7927.7709598611145,9538.055470292164,8853.745825300326,7596.546332978914,7427.494066952781,7940.132391385838,0.9473551620136608,82094028.0,1.6268558502197266,,,93466192.0,2.003621816635132,,,,
28,,,,,,,,,,,,1.0328731835840721e-07,51422659.0,0.5424330234527588,71090760.0,0.7823848724365234,53316209.0,0.5296189785003662,,,,,,,10701.458740840128,9473.638022171122,10175.694400919832,9895.542926857477,7622.403761309793,8297.168062237313,9926.920735251573,9187.419455002366,7759.956465841966,7681.7175318516765,8262.429111140471,0.9486993876370516,93518925.0,1.054220199584961,114569103.0,1.7797050476074219,99041922.0,1.1566333770751953,,,,
29,,,,,,,,,,,,9.031076836119565e-08,25236386.0,0.4187803268432617,63695882.0,1.597679853439331,27956654.0,0.46210289001464844,,,,,62047814.0,1.5348241329193115,11128.257658934124,9710.580012268238,10599.643775678573,10292.696746944066,7903.926021827885,8551.87144801984,10194.80990655368,9457.123559771237,8001.424348427384,7847.202532847491,8542.298895157126,0.9512335495515303,,,,,,,52088002.0,1.2318425178527832,,
30,,,,,,,,,,,,1.037567215772579e-07,43244396.0,0.4890575408935547,,,47920959.0,0.5058672428131104,87819965.0,1.061124563217163,,,97665888.0,1.34089994430542,11385.72001484964,10114.341989344717,11027.456989652923,10544.959839422514,8041.718190302618,8730.38340759284,10582.81137551559,9785.892220806089,8239.89646311984,8093.6676045645,8870.913738149457,0.9517058188265021,87730184.0,1.0370514392852783,108192655.0,1.8145859241485596,,,,,,
31,,,,,,,,,,,,1.0277147066367301e-07,32933998.0,0.44539666175842285,84008085.0,1.3655586242675781,,,,,86225121.0,1.413482666015625,,,11815.454836385914,10491.497871039539,11427.620615211954,10915.789130715104,8251.348210042772,9098.966405292384,10905.966557177122,10136.192614260677,8495.307800122691,8339.774671220111,9168.15205694952,0.9529573863202875,84532804.0,1.3663699626922607,,,74041619.0,1.0871944427490234,,,,
32,,,,,,,,,,,,9.466805006756176e-08,48703488.0,0.543900728225708,108505032.0,1.330627202987671,,,98082635.0,1.0847547054290771,,,107470550.0,1.29179048538208,12223.243490700817,10694.881410752274,11717.545063572696,11306.67339520655,8495.619381192457,9361.58698705514,11128.455264249511,10443.324429989878,8672.988819808432,8573.606043779553,9518.198751002714,0.9542082439769398,,,97070247.0,1.0439178943634033,102595074.0,1.1472344398498535,,,,
