,sta0_datasz,sta1_datasz,sta2_datasz,sta5_datasz,sta4_datasz,sta3_datasz,sta10_datasz,sta6_datasz,sta8_datasz,sta7_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta8,training_time_sta8,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5,host_consumption_sta9,training_time_sta9,host_consumption_sta10,training_time_sta10
23,,,,,,,,,,,,1.0053756942360039e-07,41894180.0,0.49161791801452637,101286362.0,1.3012518882751465,101668197.0,1.3179104328155518,,,112987260.0,1.8263213634490967,9730.39518971144,8326.856711702983,9134.232719310434,9134.361312350587,8811.513270224612,8019.877053141752,6666.763222204703,7062.395304558896,7748.549569282782,7689.908367158313,6865.55412533015,0.943247220732949,,,,,91857187.0,1.1065657138824463,96373228.0,1.172574758529663,,,,
24,,,,,,,,,,,,9.72473217392022e-08,,,87002280.0,1.4946622848510742,87735737.0,1.5213513374328613,66677625.0,0.9557754993438721,,,10179.705085125916,8638.28392366473,9688.97575601419,9607.5073726063,9219.201263788898,8292.488041099932,6991.714433583748,7298.479335186296,8093.299806880398,8158.600436169554,7125.407066253203,0.9445438818498091,,,,,99103140.0,1.9739232063293457,74388909.0,1.0975925922393799,,,,
25,,,,,,,,,,,,9.443519819597925e-08,41384965.0,0.49736952781677246,86693015.0,1.2536365985870361,,,,,106302951.0,2.0401113033294678,10564.70087307318,8948.792268858198,10051.131857170301,9841.76340277629,9581.930683291557,8668.874414984466,7227.619428749078,7518.936767083981,8481.222310152574,8356.533883163496,7349.697172939519,0.9474942521615461,43706492.0,0.4997992515563965,92378425.0,1.4057159423828125,80561439.0,1.101945400238037,,,,,,
26,,,,,,,,,,,,9.587575256685681e-08,42253248.0,0.5329372882843018,,,58257602.0,0.7623100280761719,73727351.0,0.9945695400238037,,,10964.8733168351,9174.224283470798,10296.527439102485,10241.324370074255,9816.334878808688,8925.52186170604,7391.291169354054,7682.178016953546,8750.208491318119,8710.424306472582,7586.648453696299,0.9480455409396779,,,87279989.0,1.3591926097869873,,,97889764.0,1.7671887874603271,,,,
27,,,,,,,,,,,,8.824124141880872e-08,50681511.0,0.5679590702056885,69452276.0,0.779386043548584,100837388.0,1.2572922706604004,,,90902844.0,1.0386593341827393,11400.961584971237,9540.338657299137,10688.203291933753,10659.830443629962,10173.281108485413,9240.211456805604,7776.87951620726,7956.981128373968,9055.262934203465,8983.082982422495,7764.450052886012,0.9505128264427185,,,98034906.0,1.1741621494293213,112599810.0,1.7102246284484863,,,,,,
28,,,,,,,,,,,,9.310451379479349e-08,,,74339958.0,1.2899601459503174,76286731.0,1.3455073833465576,63641194.0,1.0130012035369873,87723286.0,1.8646726608276367,11682.819750611901,9896.668380449128,11046.05887367112,11121.470143579978,10503.354160111134,9458.297837458182,8066.99901976705,8292.879856172174,9240.371515871548,9236.364195574663,8012.1753220327155,0.9528576569123701,,,80293007.0,1.4556775093078613,,,,,,,,
29,,,,,,,,,,,,7.819908229543321e-08,48439512.0,0.4814887046813965,69731022.0,0.7338013648986816,74458061.0,0.8056261539459229,99116080.0,1.4161667823791504,87003561.0,1.0316472053527832,12066.898687936548,10214.353457692485,11286.931254241224,11374.053443731204,10738.838048917001,9779.535417214864,8225.933851228643,8446.71948485135,9504.482340528259,9401.205240171314,8290.03915949573,0.9547810446132313,54569074.0,0.5212528705596924,,,,,,,,,,
30,,,,,,,,,,,,1.0216427797034872e-07,,,39720907.0,0.6988940238952637,62632713.0,1.3527617454528809,,,79448711.0,2.0192432403564453,12485.032672282843,10440.838647654838,11679.847838232556,11740.904038563156,11129.386732689165,10126.069688871825,8606.401244029697,8834.092675560163,9779.766624724514,9671.862963593543,8552.467378692405,0.9556445533579047,,,,,75152701.0,1.8087453842163086,80149514.0,2.0103635787963867,,,,
31,,,,,,,,,,,,9.380669495057059e-08,,,77621567.0,1.2945399284362793,78732526.0,1.3266353607177734,89007462.0,1.6602823734283447,96525266.0,1.9743731021881104,12775.768773612448,10764.858004251522,12048.418645649583,12055.102492670838,11511.771260191666,10334.647586488956,8845.955981474453,9149.865610345914,10059.456714580718,9926.25080739595,8726.549267922805,0.9577046903696927,,,,,69519170.0,1.095733880996704,96859249.0,1.9501655101776123,,,,
32,,,,,,,,,,,,8.467888672371e-08,37098904.0,0.4576375484466553,104540565.0,1.7557847499847412,,,81051368.0,1.0223109722137451,83163911.0,1.060715913772583,13173.217351809992,11110.879050795218,12435.48476623604,12345.816292869069,11850.738727740269,10788.249970545303,9089.588065952714,9364.716755896394,10365.003054463625,10282.012945279557,8984.828874293878,0.9579673355275934,43613352.0,0.5063185691833496,,,,,104615943.0,1.754570484161377,,,,
