,sta0_datasz,sta1_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta3_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
35,,,,,,,,,,,,,,,,,,,,353455943,9.740960836410522,460468364,13.321655511856079,15288.72645868872,16736.095478559204,17307.316575196426,15147.487551516373,16695.309018055836,15160.79098677819,12914.098710557882,13748.607516587455,15081.430940816319,14724.033722452015,13941.853826182303,0.9123345667665655,372777366.0,10.342664003372192,460848003.0,13.333514213562012,466616726.0,13.600806713104248,,
36,,,,,,,,,,,,,,,,,,,,413500528,8.77656364440918,552800647,13.476591110229492,15753.440261135278,17339.276514617697,17804.659507752986,15783.289134867284,17187.9230193959,15590.4650134714,13318.698182599624,14189.92586789675,15630.43164143651,15299.723190169967,14443.992544858489,0.942609272219918,426944708.0,9.079718589782715,552926624.0,13.47215723991394,671952259.0,20.64201331138611,449270029.0,9.64742398262024
37,,,,,,,,,,,,,,,,,,455664910.0,10.97848629951477,420050622,9.998998165130615,517774187,13.161105394363403,16103.249944928866,17857.35773671612,18441.533325740085,16317.481784743713,17786.597130333354,16021.883348433832,13766.552389876522,14668.068662883763,16089.563391716343,15821.038916391135,14859.452211878654,0.9458113258535211,641372565.0,20.591915130615234,511224217.0,12.906110763549805,531375532.0,13.77080488204956,,
38,,,,,,,,,,,,194478872.0,3.7996985912323,,,,,480707814.0,10.65533447265625,457146534,10.033817529678345,545899176,12.879909992218018,16499.881870825087,18242.109185367175,18847.4990780616,16644.957382117445,18169.08399244741,16427.91717803748,14053.599250979618,14990.54184624636,16479.378015968778,16175.539069633585,15221.302315223835,0.9145179011605002,472754649.0,10.452868938446045,538609156.0,12.590702295303345,565540788.0,13.820221900939941,,
39,,,,,,,,,,,,197355268.0,3.8081727027893066,,,,,484720988.0,10.625267028808594,462056068,10.046377897262573,550668573,12.84438180923462,17000.278108894876,18645.519778389236,19270.26980464017,16990.363276386175,18592.088372383063,16859.682325053844,14351.424845054999,15316.663439925092,16878.408172726387,16554.59212260783,15594.296287396413,0.9238055456768383,476849121.0,10.42063570022583,545070565.0,12.625835180282593,571765260.0,13.892617464065552,,
40,,,,,,,,,,,,,,,,,,457537769.0,11.044696569442749,415362707,9.929924488067627,517906938,13.08543848991394,17616.252284674283,19206.532590094375,19890.96216164176,17373.039898331397,19201.57651636789,17483.514234480175,14733.010886638967,15716.603950031687,17454.20635863796,17002.25200708023,16119.476599557895,0.9175740913911299,431712640.0,10.33919382095337,513499113.0,12.912597179412842,644454527.0,20.635390043258667,,
41,,,,,,,,,,,,,,,,,,,,417965788,10.36609673500061,504080741,14.388844728469849,17866.937964648798,19578.96216486803,20329.142332591106,17772.88602081467,19619.595893988517,17812.647381822913,15038.982500313803,16151.555444134612,17765.323065461795,17388.675049162885,16427.623602919462,0.9372510476545854,374681414.0,8.83322548866272,,,444850180.0,11.451975107192993,394391935.0,9.406867742538452
42,,,,,,,,,,,,,,,,,,,,411591781,8.772491931915283,552802784,13.438583374023438,18147.18039666922,19994.19097318041,20750.33840560877,18314.18817687183,20016.184925281046,18083.830689614544,15387.08748224341,16548.21281129591,18084.20780887307,17789.63158388538,16753.50455877099,0.9671636603095315,425487559.0,9.078700304031372,556016215.0,13.56195855140686,511303013.0,11.777487993240356,449843697.0,9.689861297607422
43,,,,,,,,,,,,199658790.0,3.8166611194610596,,,,,494967361.0,10.791038751602173,468300376,10.06631326675415,556335184,12.899389028549194,18798.765174842105,20582.19904346123,21268.352717340098,18895.842711695554,20552.5769837176,18649.896520590588,15867.66351049711,16953.39119367027,18674.55731598859,18325.737342252207,17280.861225211243,0.9600579901175066,690525759.0,20.615122079849243,550393061.0,12.662793159484863,574153010.0,13.738495111465454,,
44,,,,,,,,,,,,,,,,,,457138844.0,11.062988996505737,418654324,10.002753019332886,515384606,13.09565258026123,19192.127253576527,20907.571781861887,21681.56402809035,19156.41824810667,20986.46884795888,19063.097353629175,16165.618860059101,17269.817016109988,19050.504517302856,18680.376095171465,17616.609203128846,0.92159964279695,433254568.0,10.389634609222412,512250580.0,12.968283414840698,530128587.0,13.788100481033325,,
45,,,,,,,,,,,,,,,,,,643464905.0,20.597829580307007,420434654,9.987792015075684,518009721,13.107439517974854,19558.42256702385,21506.48478361663,22322.836459081023,19575.71660413613,21613.480036569148,19578.087547672563,16626.358070258033,17756.61347646851,19525.46009936218,19119.794176883817,18059.86421354001,0.9167896725914695,433044851.0,10.319396495819092,513903347.0,12.94901990890503,531444013.0,13.71045708656311,,
46,,,,,,,,,,,,169821342.0,3.642601728439331,,,,,,,398633745,9.820013523101807,492023277,12.889811277389526,19939.80226929716,21895.651243804543,22751.827831616403,19851.66017202664,22004.82677346062,19928.320294459594,16919.59462016529,18083.77436054437,19914.748794358973,19467.16610806567,18424.802138365434,0.9219737703149969,410690721.0,10.206843852996826,489734037.0,12.798043727874756,507828107.0,13.6229727268219,,
47,,,,,,,,,,,,,,,,,,,,412647443,8.75489091873169,553196521,13.464453220367432,20338.454491236185,22295.913368078796,23151.294768524127,20267.75747608884,22403.59260428471,20220.842063878496,17199.960600867766,18436.455420120303,20291.822152053384,19845.769717241572,18774.232983410988,0.9520696184851907,424715465.0,9.054181575775146,555823468.0,13.583592414855957,509981056.0,11.746135711669922,447130692.0,9.61233925819397
48,,,,,,,,,,,,,,,,,,558455236.0,11.24217963218689,529589770,10.410136461257935,615472241,13.343189716339111,20632.03048618597,22709.511308041714,23552.07452111809,20787.659232477148,22783.61328258894,20578.745844697743,17637.091585710386,18779.597387677357,20673.873869166346,20256.6421242439,19125.210575036916,0.9675100987607782,489661588.0,9.424379110336304,612444661.0,13.201186180114746,585666591.0,12.136824369430542,515344018.0,10.014593839645386
49,,,,,,,,,,,,197358931.0,3.78069806098938,,,,,492177268.0,10.711012840270996,463745029,9.962402105331421,556769326,12.833946704864502,21059.400935116435,23144.96106207319,23935.530425676912,21225.3890563292,23162.403824939865,21027.913783646243,17952.83932310047,19107.12318312517,21078.31109654659,20637.567219876055,19501.098405367273,0.9560430483384565,482794296.0,10.422236204147339,552931568.0,12.700645446777344,577934616.0,13.827085018157959,,
