,sta0_datasz,sta1_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta10_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta7,consumption_sta5,consumption_sta0,consumption_sta3,consumption_sta1,consumption_sta6,mean_acc,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
10,,,,,,,,,,,,416330783,8.794420719146729,428142642,9.077918291091919,,,554389267.0,13.433323621749878,554785322,13.451117277145386,507982648,11.605590105056763,5199.607933123398,4665.307813232706,5356.712727617949,4733.05345324912,5359.057032188876,4407.25277838447,4676.769190387979,4215.804281294622,4587.076913462483,4041.034783533572,4629.012020721801,0.8762364848093553,471770216.0,10.38436484336853,,
11,,,,,,,,,,,,462850744,9.997913122177124,479090143,10.40032148361206,484261943.0,10.543684720993042,547822694.0,12.701323509216309,547011661,12.66751766204834,568705697,13.674480199813843,5619.243452543889,5082.6127378015535,5795.434786785142,5135.379162516016,5703.568544848459,4780.275974565712,5068.573512655491,4561.19955418361,4970.00843660581,4360.513209075877,4993.609749349889,0.9090915809978138,,,200462316.0,3.8456244468688965
12,,,,,,,,,,,,466386929,10.025510787963867,482294542,10.424223899841309,688208810.0,20.60554265975952,550566645.0,12.696817398071289,550957269,12.711490631103516,573004637,13.706454277038574,6139.502004445722,5903.212277511096,6410.777148157199,5562.26059252,6387.375662729627,5241.345308095845,5668.691441033977,5049.628745999197,5501.7100476570795,4824.160168230073,5637.159112808222,0.8912970369512384,,,200495825.0,3.804611921310425
13,,,,,,,,,,,,484133466,10.376927137374878,443354822,9.199493885040283,498018928.0,10.834156513214111,,,549922298,13.214462757110596,675316813,20.61335039138794,6708.65790256714,6381.663539558488,7003.125107186782,6218.944351125513,6975.397050786214,5760.987660314184,6065.725892140369,5607.695222311807,6077.569743864986,5349.983991060099,6157.138657915488,0.9042766310951926,459875348.0,9.599529027938843,,
14,,,,,,,,,,,,415370885,9.928184032440186,637614945,20.571550369262695,637710770.0,20.600489139556885,511440829.0,12.963242530822754,510559301,12.93205189704895,523039677,13.504690647125244,7299.802162174349,6835.626270367364,7544.574665860143,6666.039434946742,7607.503507482536,6266.378328859057,6569.194746035313,6008.736962945642,6521.687775517084,5724.875624963691,6768.93841083878,0.8985169909217141,,,,
15,,,,,,,,,,,,418895167,8.792840242385864,433509388,9.132129669189453,,,556642557.0,13.449284315109253,554719893,13.389403581619263,511055272,11.602030038833618,7711.91503662051,7101.375597731838,7985.818148491685,7070.588195545197,8056.6581529244795,6594.693350476414,6936.578073505498,6350.759453326088,6913.130472866692,6069.766415664824,7109.647098013528,0.9122601747512817,450849859.0,9.577696800231934,,
16,,,,,,,,,,,,416581209,8.808590173721313,430449520,9.13713550567627,,,554691207.0,13.438539743423462,553082996,13.380188226699829,509338174,11.619382858276367,8125.271214631223,7393.667768830413,8438.721698864287,7600.930259269895,8544.442465164422,6923.135560875291,7311.260457261438,6725.647738911205,7326.007735603373,6443.775036912083,7374.864718181004,0.9325107173486189,448135144.0,9.573349237442017,,
17,,,,,,,,,,,,464577607,10.040387153625488,476290712,10.330897808074951,483733259.0,10.538951873779297,547439883.0,12.678207874298096,549109922,12.7294282913208,570161932,13.687602043151855,8553.109221069048,7822.751844738243,8871.70207082369,8010.848205932478,8987.913428767377,7294.050132452041,7721.393291168417,7063.9203492675315,7707.802737622563,6769.860990954782,7739.071402712248,0.926664715463465,,,198155560.0,3.789907932281494
18,,,,,,,,,,,,463533543,9.980125427246094,482968918,10.459351539611816,484871745.0,10.501139402389526,549287412.0,12.71151089668274,548016542,12.668187856674194,570890079,13.698460817337036,8977.250862989818,8378.017711483044,9292.194142433571,8296.93965733752,9423.734343885753,7672.212849511345,8131.813078435142,7387.909443626019,8064.248317364195,7081.228618677783,8178.667779603814,0.9091220552271063,,,200439306.0,3.860304832458496
19,,,,,,,,,,,,415770176,9.952259063720703,429815428,10.320293664932251,637301408.0,20.62213683128357,509852088.0,12.94737458229065,510453710,12.967199802398682,524553161,13.63131308555603,9514.508873097235,8916.385939770147,9939.555433807182,8717.367666486916,9958.259000232973,8115.337757859302,8618.8052657323,7868.080642615929,8596.249346792707,7545.862473290229,8705.72186024786,0.9059736078435724,,,,
