,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
25,,,,,,,,,,,,,,,,,,492579122.0,12.810309410095215,492470786,12.814733266830444,10929.534615553002,9971.138170501445,11223.01279348854,10063.96134627864,11136.35377015399,10020.592513525968,9989.050137642153,9638.811701191178,8936.524551893397,9289.09667343246,8371.872927351578,0.907317887653004,400687573.0,9.69446325302124,418211881.0,10.246732950210571,507865765.0,13.538897275924683,,,174497417.0,3.6739888191223145
26,,,,,,,,,,,,,,,,,,,,410923630,14.271342277526855,11323.045473008142,10351.000024466306,11661.769931790335,10350.646098499314,11548.665648127158,10294.36613080939,10312.140247173014,9991.192522470279,9262.044573430516,9616.82598811114,8665.239525150027,0.9052818742665377,299994838.0,9.53650689125061,314180348.0,10.03019094467163,389843912.0,13.19690489768982,,,,
27,,,,,,,,,,,,,,573994990.0,20.576460599899292,,,,,448892466,12.968015909194946,11827.123536446636,10767.612056590646,12218.849365948403,10768.884401887211,12051.918556992809,10740.653607073116,10742.00085834354,10512.812978949432,9749.486303210828,10029.30244726278,9118.508514909003,0.8998135978525336,362081471.0,9.710684061050415,378346261.0,10.184392929077148,460557720.0,13.507620573043823,,,,
28,,,,,,,,,,,,,,595033999.0,10.948373079299927,,,653017310.0,13.009125709533691,656511747,13.163588523864746,12293.907698617451,11226.03435894451,12605.18831812249,11156.948568674485,12436.71779831614,11280.161884659501,11096.450292603537,10900.470078986205,10109.14778363963,10362.840810985675,9442.21230397828,0.946838915348053,521144967.0,9.198364496231079,540270101.0,9.583685159683228,634885033.0,12.284728288650513,571606813.0,10.291380167007446,248190283.0,4.067146301269531
29,,,,,,,,,,,,,,,,,,556427469.0,13.604525327682495,553768174,13.483235359191895,12726.878556385032,11621.134394399403,13033.239225625664,11699.265854303238,12830.743503195195,11579.956980747314,11474.024775798216,11311.469630666978,10494.896607235281,10714.090892641534,9806.928425231985,0.9525816223838113,410886582.0,8.726953506469727,422603471.0,9.023239135742188,508555216.0,11.687430620193481,450156989.0,9.72301435470581,,
30,,,,,,,,,,,,,,,,,,461310464.0,13.377426147460938,460131390,13.332698583602905,13102.942386377814,11909.15771321582,13439.139946948308,12107.002334307237,13289.207910087964,11894.138332274579,11759.202724897337,11653.744758806228,10839.824294048874,11049.345558046878,10125.598361173208,0.9453569596463983,352970715.0,9.713724374771118,368242344.0,10.191601276397705,463223118.0,13.456748962402344,,,,
31,,,,,,,,,,,,,,487911837.0,10.639620542526245,,,685223038.0,20.659804582595825,552711658,12.830796241760254,13695.364899953049,12590.45743638569,14029.431520107992,12526.547563892376,13935.446094125291,12465.81791057952,12348.249867683386,12106.114771418219,11312.411029352135,11582.819438173494,10494.997863907032,0.9119172692298889,460019757.0,9.928985118865967,482830002.0,10.497357845306396,570936709.0,13.717360734939575,,,200800511.0,3.859440326690674
32,,,,,,,,,,,,,,,,,,462847753.0,13.517662286758423,458582750,13.376172542572021,14079.234844508266,12978.65340158157,14375.82342147193,12794.37621752564,14354.217851620368,12828.96916621194,12728.839666390302,12449.448168407254,11544.486409762656,11908.649219211897,10779.45732068012,0.9130855744535272,353676768.0,9.780694246292114,365809305.0,10.143673658370972,462224586.0,13.48753046989441,,,,
33,,,,,,,,,,,,,,,,,,563509788.0,13.669402599334717,559446261,13.49979567527771,14369.646592573199,13274.374349859101,14811.727915594363,13212.205609797003,14688.792944713687,13093.273890143359,13102.008746770249,12842.892011740323,11873.728183022904,12240.6721714528,11119.993523022804,0.9314200607213107,416563081.0,8.761788129806519,430137754.0,9.078083038330078,515303002.0,11.713105916976929,458207994.0,9.768151998519897,,
34,,,,,,,,,,,,,,455398004.0,11.11849308013916,,,508443706.0,13.021571636199951,510454931,13.096005201339722,14820.721070208883,13579.901283958883,15227.724783709265,13618.98385817426,15161.248369092351,13426.723855729051,13487.645194033084,13209.31948432618,12213.474126111789,12579.985817530298,11442.530881326475,0.9422284147956155,412393293.0,9.925960540771484,429282654.0,10.37224531173706,523338443.0,13.688145875930786,,,,
