,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta1_datasz,sta9_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta10,consumption_sta6,consumption_sta2,consumption_sta3,consumption_sta5,consumption_sta9,consumption_sta7,mean_acc,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5
21,,,,,,,,,,,,190657044,4.318221569061279,,,669622798,20.627772092819214,15105.649140970107,16758.320990129065,20170.706927174797,20099.345766509792,17141.793764890397,13836.18367940079,20093.37590826614,13080.169048718044,13123.775597863994,16890.179741296826,11618.996750625105,0.9859877337108959,,,436786601.0,10.446465015411377,,,499218693.0,12.318220853805542,501679197.0,12.393721580505371
22,,,,,,,,,,,,189108280,4.280302047729492,,,513553007,12.8467435836792,15633.28252162926,17367.521847545184,20836.366228301817,20789.529501179037,17814.767744255478,14335.197196391215,20964.578744405626,13609.316877816169,13561.976039834499,17456.54817463855,12037.569336313873,0.9862432263114236,,,437609109.0,10.482489824295044,,,503013483.0,12.435892820358276,502371882.0,12.415031433105469
23,,,,,,,,,,,,186442333,4.197781324386597,,,513586881,12.82556438446045,16491.73358147863,18422.927302940854,21879.324511816885,21873.828198012954,18913.2054328963,15171.373568278716,22090.146229467235,14266.775670457815,14369.851559033783,18505.706726097527,12772.798185941034,0.9833171692761508,,,437869606.0,10.478914976119995,,,503096124.0,12.407297372817993,671622366.0,20.599650144577026
24,,,,,,,,,,,,189386844,4.261414527893066,,,511963655,12.833427429199219,17007.391833461214,18958.91149794328,22853.91166210888,22704.869787711472,19617.67264069737,15649.127786618483,22978.244209179407,14803.966803002815,14769.319862897613,19111.010697096503,13171.722233877392,0.9869194301691923,,,434930467.0,10.402046203613281,,,499793216.0,12.320801496505737,504495901.0,12.472848415374756
25,,,,,,,,,,,,224548314,5.167016267776489,,,509998389,12.710807800292969,17568.09990449709,19767.88405195599,23471.78258011847,23449.245047701195,20291.164551242477,16169.353557069395,23669.474953182293,15208.92642926143,15328.525599735753,19684.714172957854,13623.655438078875,0.9871955622326244,,,437541361.0,10.487792491912842,,,499931155.0,12.329475164413452,504689992.0,12.474806547164917
26,,,,,,,,,,,,190872314,4.308970212936401,,,512734893,12.83020544052124,18050.3787835451,20295.407875025976,24096.04179048413,24188.101769276178,20852.222517361442,16734.507621192482,24307.91572647776,15623.476055106581,15730.929005017286,20195.814729137008,14083.03051016492,0.986961229280992,,,436843242.0,10.4683096408844,,,499745180.0,12.323712348937988,503220452.0,12.429797410964966
27,,,,,,,,,,,,187044077,4.219107151031494,,,669302608,20.629424333572388,18915.312074468242,21153.861553686696,25353.37646444113,25529.88558899912,21991.612393047784,17419.644623279502,25565.77743328647,16398.837028025377,16342.67117020468,21175.592295669496,14667.52224607503,0.9875109033151106,,,433712879.0,10.481072902679443,,,497638131.0,12.329517364501953,501817563.0,12.455522060394287
28,,,,,,,,,,,,189010136,4.248636960983276,,,514226039,12.77838659286499,19380.76593919935,21867.652539322196,26035.6450393613,26149.250057035362,22530.805263853326,17981.082869376012,26214.048408813065,16825.93275755445,16859.46351246505,21702.153888569446,15119.742018813764,0.9871901869773865,,,438270362.0,10.46425747871399,,,502621516.0,12.341169118881226,504482779.0,12.395488739013672
29,,,,,,,,,,,,189975405,4.272121906280518,,,511326755,12.785783052444458,19964.530463287887,22555.70776213295,26744.242267354668,26832.174775170723,23142.944498917,18560.685049969048,26973.198175157595,17363.286155075773,17366.412309826173,22384.599825147186,15562.382903946678,0.9874296946959062,,,437732827.0,10.49835205078125,,,501670407.0,12.395765542984009,502138729.0,12.404562711715698
30,,,,,,,,,,,,191415343,4.3058180809021,,,671053335,20.60620093345642,20771.10743057504,23597.731889521372,28096.74698327155,27952.734089421727,24294.390826593975,19251.61304467251,28127.30495638772,18090.24514833127,18098.926402828416,23379.757163177,16188.269892522208,0.9877511100335554,,,436646466.0,10.461024522781372,,,502680781.0,12.38495945930481,505007191.0,12.450033903121948
