,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta5_datasz,sta4_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta9_datasz,sta1_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
10,,,,,,,,,,,,,,195836962.0,3.7772672176361084,481539661.0,10.568762063980103,548714843.0,12.842467546463013,682207543,20.62502121925354,4624.238559908824,4921.576855596062,5274.445023048316,5025.464043670314,4456.412395934244,4501.850882333083,4025.912635581965,3749.9457180665113,4273.177445392774,4407.174472671408,4123.445952590004,0.9779982675205577,460957255.0,10.041374206542969,477565428.0,10.464939594268799,566427566.0,13.724312543869019,,
11,,,,,,,,,,,,,,,,,,562473658.0,13.724910497665405,555554303,13.384825944900513,5030.5981095988955,5347.751313314986,5678.946139215189,5423.153778027428,4828.397474852681,4854.9433738503985,4381.548739716751,4102.242190981709,4631.67740640107,4775.185705753017,4456.25959701153,0.9797603217038241,413906106.0,8.671075582504272,431406855.0,9.088000297546387,512937225.0,11.676648139953613,451727054.0,9.601430654525757
12,,,,,,,,,,,,,,,,557597267.0,11.220940589904785,616120799.0,13.390864849090576,613193682,13.264634132385254,5326.863896262948,5762.791410096492,6103.509383766994,5854.450027831465,5359.9190381301605,5206.749882118047,4778.564572536797,4451.835135362271,5056.6933312545,5158.6512183738205,4808.155940478649,0.9815864942290566,468915304.0,9.018946647644043,489970364.0,9.440367698669434,586184962.0,12.169976949691772,512605316.0,9.91994047164917
13,,,,,,,,,,,,,,,,452838745.0,10.993040084838867,515305748.0,13.096285104751587,513790249,13.045445680618286,5627.946858281532,6175.480250311326,6510.031361420198,6258.073145833584,5838.804334231255,5616.399139482639,5106.9591735141175,4680.429062492788,5424.586966320512,5546.758580371039,5160.815795058611,0.9827455444769426,417157867.0,9.99876594543457,430704158.0,10.335731744766235,525713925.0,13.589045524597168,,
14,,,,,,,,,,,,,,199764503.0,3.837636947631836,487511386.0,10.589959383010864,553492724.0,12.791388750076294,554848494,12.837357759475708,6058.876095280952,6580.740519807676,6937.022986936286,6654.038871463247,6113.678277290885,6057.599010679966,5428.916939483604,4977.425091361086,5772.283966028231,5951.635702790332,5515.21246265052,0.9827457720583136,469442768.0,10.133128643035889,481645983.0,10.429872274398804,573502011.0,13.70439338684082,,
15,,,,,,,,,,,,,,,,,,463372715.0,13.54704475402832,454886897,13.192270755767822,6468.883385161583,6993.758632423308,7277.085387694855,7017.663628167323,6443.7487587526975,6424.07979419238,5695.587961442049,5275.683277767354,6124.191733699149,6329.512183696831,5854.147574259446,0.9837340279058977,353408946.0,9.744615077972412,363375473.0,10.032942771911621,462075904.0,13.494283676147461,,
16,,,,,,,,,,,,,,,,,,463079931.0,13.551210403442383,452187441,13.087908029556274,6755.316236998921,7399.601708030758,7716.551799976464,7334.749797820956,6718.844508375281,6694.452596998594,6005.078791104782,5582.734068949085,6472.077326329,6701.19855038926,6174.756941760074,0.9847620725631714,355422185.0,9.768028259277344,363690597.0,10.020450353622437,457713916.0,13.292580604553223,,
17,,,,,,,,,,,,,,,,,,,,408114556,14.248682737350464,7033.456078130616,7829.424612972267,8132.427221247263,7748.93707613522,6996.7619099647845,6978.673551824904,6328.065643502797,5889.598292808956,6824.778659453311,7019.005927755427,6483.206079034871,0.985243640162728,301775168.0,9.61202359199524,309649720.0,9.882247686386108,383468073.0,12.963330268859863,,
18,,,,,,,,,,,,,,,,564109701.0,11.237138032913208,620278869.0,13.351886510848999,743012014,20.64302921295166,7465.743432860033,8340.876203476328,8752.571919286896,8361.57525246853,7650.622132007626,7405.762300110707,6879.082928365304,6393.343182391936,7414.353244485017,7527.298061351223,6891.998761822801,0.9855862097306685,473736397.0,9.025398254394531,490689845.0,9.382224321365356,588733966.0,12.114607334136963,520713328.0,10.027538299560547
19,,,,,,,,,,,,,,196721298.0,3.8113343715667725,478509334.0,10.506673812866211,549322019.0,12.875659465789795,545279122,12.729856014251709,7931.558404397611,8710.17342519387,9164.127637499527,8737.218762777704,8038.752678453363,7935.148001093844,7198.979748009204,6688.193154712662,7758.879481899177,7947.302150047536,7229.528906798624,0.9854145104234869,461316385.0,10.091341972351074,476476136.0,10.460680723190308,565879288.0,13.644126415252686,,
20,,,,,,,,,,,,,,171232777.0,3.6669740676879883,415535130.0,10.230092525482178,,,477952084,12.790149927139282,8454.415354424364,9105.77125895624,9583.511407571763,9129.588369152134,8324.94306407717,8362.456221463262,7524.376712973959,6998.608453313378,8103.57926966734,8298.256875601055,7595.621772933134,0.9855416362935846,403424565.0,9.87842845916748,413140971.0,10.1599600315094,490585475.0,13.384907722473145,,
21,,,,,,,,,,,,,,,,,,463676181.0,13.548115968704224,452790833,13.075605630874634,8857.224718231804,9506.869938831602,9993.820471593135,9525.413591627039,8594.828627000594,8637.069025918014,7851.554132271354,7306.651990574971,8452.500385461894,8657.62561206761,7927.680538476919,0.9860746643759988,357170350.0,9.817277193069458,366658546.0,10.099039077758789,458797104.0,13.31852912902832,,
