,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta3_datasz,sta4_datasz,sta8_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta3,consumption_sta7,consumption_sta9,consumption_sta6,consumption_sta5,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta9,training_time_sta9
38,,,,,,,,,,,,,,439963412,10.077499151229858,500384828,12.173356533050537,27752.79252107316,16221.26268512557,28048.511933427908,27842.66694043249,25065.20361386262,27995.39286452265,28006.025526391488,27294.032178792473,24113.87752289715,19507.125916023015,18098.08775508848,0.9897057847543196,431519586.0,9.879851818084717,456717337.0,10.589725017547607
39,,,,,,,,,,,,,,440814606,10.064085245132446,505534473,12.220308065414429,28386.457158537574,16632.525873437055,28841.89663290913,28449.86963884697,25786.74971635853,28751.98881509762,28640.675723325065,27850.06217216671,24660.74718365498,19925.09432147764,18490.650714867443,0.9898979230360552,428849549.0,9.772683143615723,457723742.0,10.553447723388672
40,,,,,,,,,,,,,,440074740,10.075835227966309,499521366,12.113011837005615,29192.57113364668,17028.546141309933,29453.166564486386,29104.42721724554,26347.957643250258,29378.160790185222,29468.33174290646,28563.758058155185,25191.530849295264,20476.664221347903,19000.551081570462,0.9901619228449735,431409052.0,9.86364221572876,457144764.0,10.58443284034729
41,,,,,,,,,,,,,,439709934,10.074633598327637,502660884,12.209245920181274,29820.30634774584,17497.894886576963,30036.15441243775,29841.784687229894,27055.22061630438,30021.803053700965,30048.695064050553,29191.0380539,25784.523607498995,20904.715887214705,19393.981200531853,0.990245217626745,431416743.0,9.841676235198975,453210876.0,10.481441974639893
42,,,,,,,,,,,,,,439981845,10.115392923355103,499263981,12.153411388397217,30545.176423980938,17868.85503620697,30878.502336204678,30456.739182012276,27614.847683278695,30837.326093029093,30820.44513785465,29813.98273324197,26331.193032195162,21328.213968247812,19891.932616310325,0.9902708367867903,429066590.0,9.847716331481934,456757498.0,10.606205463409424
43,,,,,,,,,,,,,,438024880,9.997753381729126,501748532,12.124183416366577,31199.90662012246,18212.303404749066,31548.372807156247,31255.402701244806,28176.22997049474,31471.266268648567,31376.870094714017,30609.823196387428,27020.27242303121,21864.2124478588,20291.81963373061,0.9902056455612183,424797131.0,9.676866054534912,457956652.0,10.582148313522339
44,,,,,,,,,,,,,,437716897,10.05065393447876,500073793,12.129312992095947,31804.881392682226,18630.95050549766,32314.190969834784,31895.438141307597,28875.20297890508,32284.069911532268,32044.4294662879,31176.75828446243,27594.536310607396,22296.146772931792,20699.948055432986,0.990234765139493,429966062.0,9.860873460769653,456885610.0,10.61410117149353
45,,,,,,,,,,,,,,444227500,10.045581340789795,504894886,12.121225118637085,32562.68176729711,18991.69810004954,33002.246425833124,32498.959314242864,29422.793464656577,32952.1101360097,32896.95527093886,31971.884927860083,28140.589091850932,22841.425673496677,21193.6453836379,0.990245445208116,431443293.0,9.74003529548645,463901095.0,10.628210306167603
46,,,,,,,,,,,,,,440505953,10.061933994293213,502087643,12.148930072784424,33191.46864690093,19440.92452828788,33800.647946491954,33264.331702151925,30142.007483452366,33584.14664215884,33513.1064712916,32636.526255051078,28798.38055141605,23279.101777190088,21588.26736775156,0.9898237531835382,428620790.0,9.745941638946533,458274523.0,10.597718477249146
47,,,,,,,,,,,,,,438900305,10.05169939994812,499977541,12.159205198287964,33936.81821228234,19796.91368055658,34445.66283843102,33914.95647388651,30686.976258116425,34341.379643325956,34297.12212492984,33224.08891281309,29336.17694061744,23694.6115538855,22103.468013990037,0.9901630282402039,429795103.0,9.839995622634888,457047963.0,10.593751907348633
48,,,,,,,,,,,,,,436695598,10.030291557312012,494753799,12.076052188873291,34566.99433669756,20174.42109710206,35110.666724553805,34701.689038488046,31216.129130034562,34945.52106513038,34901.79009937445,33965.69200305634,30009.490376374768,24258.011128592174,22570.38374184579,0.9901278940114108,428064945.0,9.822943449020386,455318597.0,10.602729082107544
49,,,,,,,,,,,,,,437954324,9.99110460281372,502509883,12.146561622619629,35207.10912142885,20620.140713938166,35901.35727333358,35341.692579502094,31886.286015261026,35702.87861052097,35532.81836684105,34548.23782896198,30557.75666984176,24687.477345366333,22974.613847950168,0.9900464415550232,430133054.0,9.800468921661377,455615228.0,10.495490312576294
50,,,,,,,,,,,,,,436847209,10.02340817451477,499746218,12.193300008773804,36020.39733693488,21032.834404004858,36563.89263191207,35957.128895576665,32428.0648356834,36352.74006421939,36287.53694127621,35161.60905530853,31054.051876514783,25224.686032257654,23472.727110331325,0.9900364063002847,424792492.0,9.732845544815063,456383719.0,10.613932609558105
51,,,,,,,,,,,,,,439012060,10.10498046875,497402840,12.124488115310669,36659.11056504402,21375.137079250133,37170.078485252816,36736.938070692915,32991.44489763822,36930.310610410095,36880.32215513619,35924.54177197192,31707.940237219707,25661.366618661476,23878.74055784675,0.9901646429842169,427521793.0,9.820027828216553,454983698.0,10.618533372879028
52,,,,,,,,,,,,,,437889382,10.041632890701294,499636599,12.147403478622437,37310.18151543671,21820.41095228723,37959.91035731255,37321.63149897364,33703.93043856997,37664.164393782055,37576.09920951226,36544.47653572067,32243.200967437024,26091.8712735396,24280.790918344388,0.9898715669458563,428518252.0,9.820562601089478,455349664.0,10.559656143188477
53,,,,,,,,,,,,,,438037269,10.081897020339966,498514471,12.121402502059937,38057.64326274247,22183.307373987165,38591.44236305121,37926.47320631933,34266.988059668765,38287.562625431776,38371.81420390372,37299.06008876938,32769.20677668921,26625.699178926483,24779.29453318822,0.9899765036322854,427507939.0,9.825632333755493,458287523.0,10.656748294830322
54,,,,,,,,,,,,,,441635100,10.061636447906494,502590815,12.101630449295044,38690.19529687958,22698.92172845436,39205.83328126354,38652.8050300541,34961.278720328075,38873.276597642944,39031.78868772275,37928.54394771776,33408.49051836508,27048.73467795067,25190.855233494996,0.9896204959262501,428100955.0,9.71214771270752,459181747.0,10.563817977905273
55,,,,,,,,,,,,,,440619538,10.045691967010498,500335938,12.117248773574829,39451.55141214551,23024.86476852169,40048.059967190675,39279.31255560582,35505.71334736011,39648.196939713926,39819.653758368135,38548.627476443005,33949.36113322395,27564.474916036957,25678.748129671763,0.9898596405982971,429331115.0,9.777875661849976,457085438.0,10.543556213378906
56,,,,,,,,,,,,,,438656042,10.037020683288574,500566834,12.136107444763184,40106.95600816445,23381.957913425635,40706.7304433718,40097.66719099808,36196.86134418865,40210.57908266337,40416.55945674221,39287.08390853424,34611.07223185122,28019.424783926454,26069.029341166068,0.9898798140612516,429935667.0,9.825408458709717,456808035.0,10.5854651927948
57,,,,,,,,,,,,,,438163063,10.0613431930542,501529050,12.177801847457886,40748.69634159315,23827.40975845626,41460.59759116602,40722.725699811024,36776.55257443397,40959.41310860317,41234.16525475533,39910.378842455204,35148.85904859636,28447.301959403605,26471.017688234275,0.9898667606440458,428402162.0,9.819730043411255,457205556.0,10.63217306137085
58,,,,,,,,,,,,,,438414771,10.079851865768433,497541329,12.076054334640503,41474.86589074458,24176.118025635995,42079.806058481365,41493.22492333943,37342.264630188125,41533.147918714545,41851.710994192705,40655.70761577505,35667.58750972087,28992.344052524277,26960.419654282596,0.9898517023433339,431427180.0,9.916483402252197,455869621.0,10.583489656448364
59,,,,,,,,,,,,,,443205775,10.097965955734253,504143485,12.132880687713623,42074.196344021046,24597.989355366204,42864.24815460284,42133.844044879625,38029.84794158491,42327.966496871464,42538.311042585265,41225.102055530406,36349.79484526857,29411.651823224583,27360.121583239983,0.9898705915971235,429644652.0,9.767361879348755,460032270.0,10.573883771896362
60,,,,,,,,,,,,,,437994728,10.033650636672974,499032842,12.15138578414917,42887.059122857565,24947.531417367743,43522.506752434114,42754.0934312071,38606.072276201885,42994.418041576915,43288.58783524453,41822.540228301026,36874.57168905823,29941.035966727875,27847.78367037167,0.9899549700997092,428505434.0,9.80103588104248,452809204.0,10.475744485855103
61,,,,,,,,,,,,,,441672087,10.066074132919312,504209952,12.21310567855835,43482.8724866724,25297.430937962883,44152.30641268477,43481.336986286,39303.7749695123,43599.431670884,43959.54410020893,42608.30148737024,37557.82909392265,30405.375433246205,28252.491261236908,0.9900010065598921,429380614.0,9.774501323699951,456446220.0,10.550656795501709
62,,,,,,,,,,,,,,436530376,10.03358006477356,500930054,12.15025019645691,44143.80738823472,25734.1361167099,44952.828296159554,44095.738454717,39882.762058915854,44363.74601454274,44557.38928811367,43211.16324903783,38103.91094928872,30833.76355735055,28656.234181925272,0.989413245157762,424420422.0,9.752713680267334,458372911.0,10.658756494522095
63,,,,,,,,,,,,,,441631255,10.079902172088623,501320616,12.144528150558472,44899.920612223286,26073.225447675948,45579.42395773026,44727.25355668804,40433.27689308137,44973.434850702324,45412.582583289106,43953.02152832096,38641.69267815494,31377.924837480976,29135.47093484324,0.9898930300365795,426889532.0,9.712486982345581,457973254.0,10.564005851745605
64,,,,,,,,,,,,,,441110443,10.081606149673462,503059320,12.12526535987854,45518.57494538935,26530.43743308534,46428.74044878759,45534.2219246713,41144.041675453176,45609.04039328648,46066.89221150277,44552.15923559493,39305.38242149205,31792.80559240036,29537.470365061094,0.9896538257598877,428162173.0,9.769594669342041,459934980.0,10.611804723739624
65,,,,,,,,,,,,,,440998321,10.068353652954102,500811157,12.134187698364258,46691.48538675154,27125.086527132775,47423.23897115983,46559.58171886788,42122.38787272187,46771.29964073206,47109.41129748315,45648.00562185659,40213.49455068534,32548.40879717455,30214.24605113848,0.9893757592548024,427541569.0,9.733248949050903,685734023.0,20.563092947006226
66,,,,,,,,,,,,,,439291967,10.034390687942505,691025391,20.591744661331177,47765.6978971055,27800.87592901356,48534.44314365692,47629.422687351434,43117.93889995516,47830.99872338789,48249.72945978061,46720.47311325595,41092.69673758804,33298.25831991879,30886.438869878457,0.9898225285790183,428013431.0,9.772855758666992,457278493.0,10.543400287628174
