,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,consumption_sta8,consumption_sta4,consumption_sta9,consumption_sta10,consumption_sta2,consumption_sta6,consumption_sta5,consumption_sta0,consumption_sta7,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
40,,,,,,,,,,,,,,,,,,548814452,13.409794092178345,550501398.0,13.469200372695923,17912.31089824235,16608.165435292496,18720.429053986503,18627.59158704931,16422.3067767006,16554.735984099872,16476.113008647822,14904.010505517805,15246.862362539548,16145.153056202744,13931.60642454344,0.9881018779494546,406070555.0,8.700209617614746,423798903.0,9.09412956237793,502764155.0,11.573163270950317,447369765.0,9.694788217544556,,
41,,,,,,,,,,,,,,,,,,544835519,13.38111162185669,548681151.0,13.535216093063354,18294.000306673483,16891.54889148984,19125.604952283906,18943.876086837587,16950.291944581288,16847.112438623062,16845.650414370237,15268.558310779763,15577.59059202524,16558.308157513467,14267.934307939782,0.9881128885529258,405361450.0,8.72233510017395,422593401.0,9.111357688903809,500094728.0,11.582423448562622,444793234.0,9.69145154953003,,
42,,,,,,,,,,,,,,452076602.0,10.867837905883789,,,514220241,13.009570837020874,513407866.0,12.982406377792358,18706.783748700964,17192.14925297309,19552.124258180775,19403.26577371231,17357.77527243469,17188.050570049367,17227.952505413887,15601.502913540466,15923.733384657631,16941.3678521403,14589.345503935832,0.9879703575914557,420667808.0,10.012412309646606,433559498.0,10.357205152511597,528562368.0,13.675484895706177,,,,
43,,,,,,,,,,,,,,481161610.0,10.498405933380127,,,546869999,12.685355424880981,548449890.0,12.741721868515015,19133.009434393727,17603.423435763336,19992.3225834224,19866.101115735815,17644.817849025636,17622.016164326702,17620.825470251573,15926.126385443593,16307.878902027234,17290.880309977838,14896.450050556401,0.9876704216003418,464596894.0,10.078067064285278,478380916.0,10.424923658370972,569858588.0,13.763620615005493,,,202122591.0,3.887896776199341
44,,,,,,,,,,,,,,483130172.0,10.514626026153564,,,549513608,12.744357347488403,548487304.0,12.711025714874268,19593.040598119496,18142.82478781715,20446.453383568216,20268.772543710744,17927.031589068945,18056.880314108115,18035.893410034365,16244.853918676548,16673.144321489886,17640.451585254847,15201.276496173161,0.9878595742312345,467369225.0,10.099441766738892,482385911.0,10.50170636177063,570747196.0,13.715047121047974,,,197941388.0,3.8273110389709473
45,,,,,,,,,,,,,,,,,,500399171,14.357385635375977,,,20000.478312367733,18534.627660290073,20869.102427455917,20712.945244390983,18333.543769073305,18389.558107564717,18349.095666851623,16592.21357731747,16997.838054743068,18042.986341278727,15547.86642314912,0.9876078204675154,357480531.0,8.41166090965271,370930752.0,8.756878137588501,437484964.0,11.210022687911987,416355196.0,10.344556093215942,,
46,,,,,,,,,,,,,,553882371.0,11.06997275352478,,,610202723,13.159165620803833,611265892.0,13.21086072921753,20389.96568734311,18821.977725383305,21305.146294362938,21149.707228392705,18844.638531229415,18716.313420472306,18679.677293690886,16957.21336263825,17320.365061744425,18451.591816756016,15885.93486964939,0.9879218285734003,471607130.0,9.029607057571411,485457436.0,9.332071304321289,580377665.0,11.969866752624512,516905659.0,10.023512601852417,,
47,,,,,,,,,,,,,,453665221.0,10.923945665359497,,,509326516,12.89405107498169,511914461.0,12.989742755889893,20797.090681567497,19132.785944013747,21610.770186937967,21591.499802343133,19248.959802366906,19121.984247037763,19072.507722325143,17313.390183064552,17663.672205948882,18823.544908447988,16211.7775236184,0.9882454709573225,419388819.0,10.008868932723999,431621027.0,10.30850625038147,525926144.0,13.679051399230957,,,,
48,,,,,,,,,,,,,,480423880.0,10.49846363067627,,,545156380,12.698799133300781,544687204.0,12.683178901672363,21199.388024734817,19539.090526342818,22196.842053880697,22022.16417626885,19532.956427849593,19551.803365524138,19460.685969511364,17633.56545228842,18028.472324589522,19170.895394843814,16521.03844683599,0.9878598397428339,467361596.0,10.16822624206543,478294186.0,10.449216604232788,567626293.0,13.729696035385132,,,197399153.0,3.8361902236938477
49,,,,,,,,,,,,,,,,,,450275886,13.158977746963501,456595633.0,13.39137864112854,21715.083654921153,20012.714171019754,22697.803080229154,22621.16633228045,19949.903799686872,19964.09875957348,19918.656299475853,18112.713285751062,18445.17290201449,19608.641582378386,16978.18694123472,0.9879139011556451,353655406.0,9.823207378387451,363036424.0,10.105356454849243,572908934.0,20.610073566436768,,,,
50,,,,,,,,,,,,,,548881713.0,11.114309549331665,,,605407019,13.211335182189941,605916479.0,13.232620477676392,22291.542118001937,20493.76684259388,23261.591722463945,23224.972937027746,20537.167433949806,20504.159808044315,20480.796361816898,18541.414655979515,18941.73674157513,20166.760244588742,17392.89411171327,0.9880330129103227,466430508.0,9.063331842422485,481697558.0,9.384906530380249,728528347.0,20.634960412979126,510179968.0,10.007023811340332,,
51,,,,,,,,,,,,,,478957514.0,10.477856874465942,,,544813120,12.665721654891968,546626775.0,12.72402048110962,22696.159326948393,20883.59417908366,23701.420545662815,23658.70863850612,20938.249554156337,20933.062270804337,20881.981308766244,18948.163468398754,19297.875167128692,20519.094766351627,17681.77791112262,0.9879707639867609,475211979.0,10.37936806678772,476004946.0,10.403770923614502,568779367.0,13.768681764602661,,,199745094.0,3.8409385681152344
52,,,,,,,,,,,,,,,,,,483182296,12.685779809951782,614809767.0,20.60496497154236,23171.988917810464,21640.550748493955,24231.18411289111,24207.794860818467,21374.05498312599,21444.36809537185,21467.556735930626,19347.400035344945,19829.659296142603,21044.153561246418,18126.089914244178,0.9880048632621765,398444659.0,9.883275985717773,408978384.0,10.195055961608887,500373902.0,13.487491369247437,,,171404164.0,3.699740409851074
