,sta0_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta6_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta1_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta2,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta4,training_time_sta4,host_consumption_sta2,training_time_sta2
20,,,,,,,,,,,,,,,,554641707.0,13.529386043548584,548822875,13.276573896408081,9064.312358430621,8199.02397339906,9204.586912152756,9119.844795717116,8165.417463119967,8273.283624705851,6946.285222532365,8166.600760739711,7963.745033580267,7465.495683136264,7660.286883681559,0.9865892692045732,410407397.0,8.757269859313965,425505808.0,9.091750383377075,509745827.0,11.692197799682617,,,450873846.0,9.716795206069946
21,,,,,,,,,,,,,,485932594.0,10.571486234664917,548695373.0,12.702233076095581,553654955,12.879743337631226,9456.795104527208,8592.925170480084,9592.858025939087,9509.198574645608,8589.5868956441,8678.481353586696,7264.781320522747,8554.649213032513,8315.548966298818,7805.509899713136,8017.550292812213,0.986842458898371,463558445.0,10.001126766204834,480556021.0,10.439137697219849,568623789.0,13.601523637771606,199705788.0,3.836233615875244,,
22,,,,,,,,,,,,,,,,464484284.0,13.416361093521118,459203903,13.222981452941895,9834.306415923826,8993.73973880718,9981.26006919107,9948.229610147337,8873.30258876013,8954.893224393261,7570.857459052584,8917.766174308406,8657.764001232343,8128.733966066737,8284.117963488115,0.987116661938754,358974789.0,9.813779592514038,369358429.0,10.11409878730774,462965612.0,13.361638069152832,,,,
23,,,,,,,,,,,,,,447758193.0,10.851437330245972,508737468.0,12.929177045822144,512154573,13.056278228759766,10265.83497553923,9285.225297223265,10389.822789989073,10342.283744925913,9211.29154226964,9227.01812585859,7871.641189634668,9217.417281943215,9008.0855496464,8456.353910364496,8633.797108137038,0.9869908582080494,413148112.0,9.946348905563354,429550902.0,10.350939989089966,522395819.0,13.5708749294281,,,,
24,,,,,,,,,,,,,,550389582.0,10.978156805038452,609649501.0,13.163000583648682,611413413,13.233353853225708,10669.637620962854,9651.407809024022,10796.329010969248,10717.215642479725,9624.392521487747,9706.065019731494,8221.604453425338,9598.013967096891,9396.952078233031,8817.968787853692,8993.867573568381,0.9873878576538779,529885729.0,10.393972158432007,487621677.0,9.366579055786133,579998820.0,11.964861869812012,,,517000447.0,10.026559352874756
25,,,,,,,,,,,,,,482225878.0,10.552922010421753,544539621.0,12.689161777496338,548760558,12.846031188964844,11062.009475496778,10080.942444117449,11205.865812505137,11122.94261773298,10042.26553228238,10103.483401036028,8544.568293330369,9990.433777822276,9753.071965563118,9153.872885917783,9371.043722807039,0.987108360637318,462035011.0,10.012082815170288,477749693.0,10.42888355255127,566736891.0,13.72250771522522,197947247.0,3.8198437690734863,,
26,,,,,,,,,,,,,,,,461000407.0,13.501882553100586,453560362,13.221316814422607,11436.592551039916,10542.881133463005,11613.327066817103,11573.05937369773,10428.026465171437,10376.586859867373,8839.960724108736,10360.03677115336,10021.318976044517,9475.322554773262,9707.298616681206,0.9872739206660878,352786267.0,9.756987810134888,362071888.0,10.0770103931427,459603560.0,13.444443941116333,,,,
27,,,,,,,,,,,,,,,,558820225.0,13.585862398147583,554126084,13.384620189666748,11842.562002255048,10825.06991476764,12003.44355344226,12000.256349473624,10706.661770488117,10786.915854071987,9184.054109228286,10731.54747527443,10384.128827676142,9821.587824319895,10037.801973494446,0.9876517870209434,413519937.0,8.733611106872559,429306396.0,9.079653263092041,512184175.0,11.701063871383667,,,452271059.0,9.658734321594238
28,,,,,,,,,,,,,,452730225.0,10.90062427520752,512292756.0,12.950873851776123,514617029,13.040295124053955,12247.307724869699,11123.981345444772,12396.266165172316,12402.51557986386,11061.162190316947,11239.457380880098,9428.386772835014,11112.54379463271,10744.836243240115,10176.56819437642,10381.114883388313,0.9872941428964789,420092735.0,9.989794492721558,432656913.0,10.319144248962402,527196587.0,13.629330158233643,,,,
29,,,,,,,,,,,,,,451149480.0,10.85889983177185,638825147.0,20.613415956497192,514138698,13.023998498916626,12758.62058749531,11579.921088508221,12928.098146504182,12941.916909769718,11669.9588248279,11694.768920154027,9872.213858919575,11693.252415535384,11264.198533170202,10578.079717491588,10889.517294890471,0.9877319877797907,417171051.0,9.950983047485352,434327563.0,10.376351118087769,528654713.0,13.708383321762085,,,,
