,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta0,consumption_sta7,consumption_sta1,consumption_sta3,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
14,,,,,,,,,,,,,,,,,,449420603.0,10.888454675674438,,,418208158,10.046868085861206,511915011,13.056880235671997,6506.028215082881,6986.877639693044,7323.165174120428,6489.956488187647,7225.340271667875,6427.711494533613,6370.753871772807,5788.806601429383,5893.546573668131,5550.291529044584,6306.614266656855,0.9828376553275369,430979853.0,10.375152587890625,508526042.0,12.923816919326782,521330025.0,13.533226013183594,,
15,,,,,,,,,,,,,,,,,,449022165.0,10.817445039749146,,,418886806,9.985299110412598,517517901,13.130338430404663,6748.7930665296135,7389.095431315184,7731.558196296045,6763.3355263422145,7640.267925985523,6851.340680061741,6752.195446348357,6109.646305134909,6243.820423400905,5851.642674525392,6657.841867208145,0.9829513213851235,430958735.0,10.306130409240723,513741788.0,12.985515356063843,527513603.0,13.621841669082642,,
16,,,,,,,,,,,,,,212955510.0,3.8088951110839844,,,,,,,454948665,8.834651470184326,586122706,13.03979778289795,7170.225189522277,7791.527204011324,8150.23615982634,7203.920073185754,8029.388723847053,7220.549476019431,7141.823817325819,6479.6756514729805,6603.426197020577,6186.234879599174,7044.6152465552,0.9840118559924039,470576859.0,9.184479713439941,586803368.0,13.056334733963013,556418497.0,11.829831838607788,498687567.0,9.923372268676758
17,,,,,,,,,,,,,,169990471.0,3.6175098419189453,,,,,,,400861645,9.886141300201416,489873929,12.840757608413696,7696.791484288938,8168.917163186706,8543.812806817807,7565.687302715785,8418.96854411835,7542.55768020184,7538.37603825209,6822.118663624391,6964.930027607102,6489.347136197825,7420.950656824576,0.9847750501199202,416583833.0,10.375811576843262,486684728.0,12.718549013137817,501388853.0,13.383627653121948,,
18,,,,,,,,,,,,,,,,,,448718029.0,10.879034042358398,,,415830662,10.003089427947998,513749540,13.152406215667725,8130.12424464729,8553.733303501087,8946.281775098902,7845.90398637361,8832.426676293298,7900.867588145272,7930.4495329149695,7141.004811825464,7309.5787783226115,6794.16968503021,7708.952503757289,0.9845834482799877,429275025.0,10.336213827133179,509921974.0,12.99752926826477,523966249.0,13.617053747177124,,
19,,,,,,,,,,,,,,,,,,492693991.0,10.79031753540039,,,417994780,8.687072038650513,547711062,13.337208986282349,8501.947915981513,8940.47286545682,9322.481458083454,8238.114515529322,9228.919334195203,8321.466071682227,8268.916146068126,7480.203036559325,7652.304832182984,7118.5017442340995,8075.523036145643,0.9852771650661122,432116814.0,9.008195638656616,,,516249105.0,11.723639488220215,463539951.0,9.800313234329224
20,,,,,,,,,,,,,,,,,,,,,,409271535,8.672942638397217,551641105,13.32267713546753,8784.103703538407,9336.073491518358,9703.090627917687,8737.143816890277,9597.19566625368,8665.669365082369,8601.19459007276,7844.333850356583,7983.447078925616,7484.624653461884,8473.133332435393,0.986020332032984,424761791.0,9.012928009033203,553929612.0,13.40610933303833,511689181.0,11.749179601669312,454664913.0,9.767351388931274
21,,,,,,,,,,,,,,,,,,,,,,357727111,9.834181308746338,457606983,13.224444150924683,9072.811283487703,9727.451749734753,10038.440641461419,9195.97406064735,9977.956851378223,8954.198038301023,8968.826814337785,8118.898405713074,8319.762342514443,7731.307215198256,8840.761917734471,0.9858265627514232,366866554.0,10.115801811218262,461108744.0,13.355376958847046,461512063.0,13.371428966522217,,
22,,,,,,,,,,,,,,,,,,453108459.0,10.886339902877808,,,421453267,10.023911476135254,514880701,13.093547582626343,9371.106635388314,10154.952032602561,10527.140143684694,9467.706445688968,10424.268510292137,9289.038995802623,9347.676467855865,8422.630568262788,8656.875682306745,8026.835750965555,9193.57260574317,0.9854639606042341,435076401.0,10.376590013504028,510827366.0,12.931772232055664,527748039.0,13.672884225845337,,
23,,,,,,,,,,,,,,,,,,637860489.0,20.60025715827942,,,421234762,10.019632816314697,514702784,13.064846754074097,9815.729024482062,10660.74776289183,11203.565669248896,9888.936183689913,10927.171615389438,9806.26585250393,9906.969885585611,8903.637170225496,9094.281301817633,8478.58795125122,9712.723327514244,0.9864640127528798,434022448.0,10.338085889816284,511781161.0,12.941264867782593,526369808.0,13.623428344726562,,
