,sta0_datasz,sta10_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta6_datasz,sta8_datasz,sta5_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,host_consumption_sta1,training_time_sta1,consumption_sta8,consumption_sta10,consumption_sta4,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta1,consumption_sta5,consumption_sta0,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
16,,,,,,,,,,,,,,,,420674460.0,10.252750396728516,,,482916427,12.838912725448608,406083494,9.813022375106812,7688.801293988568,7996.985481203894,7075.027963610379,7930.088049843044,6929.428567439421,7065.977869663389,6002.687306017182,6966.729904345872,6215.8827240971,6692.223370062892,6439.600622096992,0.9849702390757474,418511685.0,10.175240755081177,492878193.0,13.307025671005249,,,170926503.0,3.624223470687866
17,,,,,,,,,,,,,,,,,,551989310.0,13.432801246643066,670809379,20.62447452545166,412516461,8.734744787216187,8293.004753821078,8607.792859047438,7541.097182073704,8518.04314629359,7456.178575389228,7509.379850752096,6528.279380418936,7411.342265061713,6791.781902039312,7160.726212182581,6940.748197638661,0.9847928881645203,422675614.0,8.983113288879395,508216045.0,11.654981136322021,448693797.0,9.629001379013062,,
18,,,,,,,,,,,,,,,,548965514.0,11.031562566757202,608177032.0,13.167389631271362,613494218,13.416595458984375,468431112,9.030202865600586,8706.022990448459,9040.813434898275,7839.712596895245,8922.838110730947,8117.251171627202,7841.807599404453,6862.616192863749,7778.261454090835,7162.859899298819,7528.584270659642,7271.655621203719,0.9852072542363947,478130246.0,9.238666772842407,580072307.0,12.047107696533203,513360013.0,10.007279872894287,,
19,,,,,,,,,,,,,,,,479345758.0,10.562295913696289,542207413.0,12.66871452331543,550282649,12.995007276535034,460473858,10.085190534591675,9116.833962759176,9446.050048415733,8235.159766836066,9338.91573122245,8532.34192635518,8278.233978194125,7166.892919227528,8185.651435142375,7499.789645944332,7992.088570128788,7647.699021149723,0.9858069365674799,476903564.0,10.506153583526611,563784384.0,13.65707802772522,,,194576834.0,3.7998127937316895
20,,,,,,,,,,,,,,,,481165089.0,10.537144184112549,544752145.0,12.627213716506958,553598558,12.971599102020264,462312416,10.043908834457397,9520.328264704718,9835.544619330578,8764.881207982953,9717.771056427786,8881.177741168345,8726.866594184914,7465.829031295368,8601.698475411922,7824.254300961947,8357.309798272432,8011.939340742154,0.985956918109547,477966611.0,10.449735403060913,567885875.0,13.639685153961182,,,197257979.0,3.7788238525390625
21,,,,,,,,,,,,,,,,,,458829880.0,13.397473573684692,460970866,13.507668495178223,355319891,9.831181764602661,9903.020021054843,10232.952273395067,9195.827396424827,10103.673018860176,9161.671269330694,9085.412216043154,7763.259099822408,9013.352156968274,8147.958459267416,8624.921002318184,8353.686281186967,0.9862585501237349,365449016.0,10.151966333389282,457856005.0,13.354891777038574,,,,
22,,,,,,,,,,,,,,,,,,457506336.0,13.403299808502197,459385238,13.504428386688232,354265694,9.821916818618774,10323.762436696215,10624.51284785868,9485.15376327118,10486.421342937674,9490.296398629052,9379.75548312342,8015.992099292618,9386.286731128032,8400.097905959678,8980.810604714152,8693.108875240356,0.986161237413233,363282700.0,10.097924709320068,455909783.0,13.343907356262207,,,,
23,,,,,,,,,,,,,,,,444800986.0,10.804529905319214,633894800.0,20.606756687164307,513959073,13.23375391960144,414558936,9.995244979858398,10842.819729900802,11185.56094767545,9926.626231825561,11018.977485491874,9907.81265886926,9949.077890672861,8462.72141610268,9951.394138437316,8881.178640071474,9507.59696889696,9127.360789223465,0.9866065762259744,428321962.0,10.354638814926147,522881718.0,13.650420427322388,,,,
24,,,,,,,,,,,,,,,,,,,,412560468,14.42175555229187,301164390,9.640685558319092,11247.894925827804,11598.909190268123,10250.676182182271,11410.337407800223,10175.664640569374,10222.81230758408,8762.7940750394,10293.244157001758,9201.075132302984,9855.948888073015,9447.85881679417,0.9870752800594677,310277343.0,9.95405387878418,387046494.0,13.096970319747925,,,,
25,,,,,,,,,,,,,,,,487687716.0,10.689183235168457,,,545871588,13.365933418273926,418953029,8.742343664169312,11644.452818736465,12017.807011512852,10592.688880388296,11808.199128403396,10581.989576490376,10567.005920911282,9099.342619818131,10625.023902455463,9570.60796971008,10240.647938275104,9770.33513404213,0.9868035045537081,427496342.0,8.954763412475586,512130220.0,11.689617395401001,454400570.0,9.619582176208496,,
