,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta3_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,consumption_sta4,consumption_sta0,consumption_sta8,consumption_sta2,consumption_sta10,consumption_sta6,consumption_sta5,consumption_sta7,consumption_sta9,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta2,training_time_sta2
26,,,,,,,,,,,,412248700.0,7.233691453933716,488031344,8.77076506614685,555130903,10.481097221374512,577584520,11.298677206039429,23614.95895970219,21959.197514073025,21490.35199786194,18772.702158420994,19672.12482992328,23277.89279485824,23338.728861841177,23275.262647037573,18863.726929408225,14543.093044487528,13076.050763707846,0.9874853004108776,518308854.0,9.420565366744995
27,,,,,,,,,,,,414291298.0,7.302731037139893,485600930,8.732191801071167,552838672,10.462259769439697,577222704,11.307530641555786,24393.31999067238,22721.45967798199,22164.119752539482,19382.662896974867,20323.36131921191,24197.463127858897,24119.822644954147,24211.9049939759,19509.198445732403,14997.759455243837,13518.18800194094,0.9877847378904169,519636365.0,9.45847225189209
28,,,,,,,,,,,,412696819.0,7.286228656768799,487143162,8.765937328338623,554264267,10.509159803390503,575410392,11.234557628631592,25086.45647183753,23476.584894156207,23110.84084229509,20038.791790400155,21177.527715898115,24905.582011656494,24858.95447467842,25045.773936916605,20353.706752776285,15475.157019944654,14007.788372016312,0.9876336672089316,517460589.0,9.44029951095581
29,,,,,,,,,,,,412697185.0,7.251017332077026,486902196,8.72415804862976,552423879,10.435591459274292,575442923,11.229958772659302,25859.489738051623,24445.458393223704,23813.060607969615,20657.709908487977,21885.217977739543,25716.04524211811,25669.655058488835,25846.840629783175,20986.721097639773,15958.635312411354,14529.362776583148,0.9886236678470265,517132710.0,9.40329885482788
30,,,,,,,,,,,,414328590.0,7.272167682647705,485259866,8.70659613609314,554257676,10.470575094223022,578696760,11.317370653152466,26678.86704235293,25120.15963988836,24529.393362469782,21285.93864370381,22526.422136253885,26504.114580424924,26500.30146442859,26594.81834426122,21586.504643873912,16503.54627782321,14905.902153192434,0.9880446141416376,520165722.0,9.476147651672363
31,,,,,,,,,,,,411579818.0,7.223345994949341,485555703,8.73568081855774,554776778,10.50022840499878,576573902,11.28645944595337,27597.086804796716,25936.119096738275,25246.094899454045,21906.505549463334,23216.13521286563,27208.47855125955,27215.567633200284,27405.870288335966,22255.93158757108,17003.727985531616,15329.614132976367,0.9888070984320207,516603353.0,9.407920837402344
32,,,,,,,,,,,,414592811.0,7.265464544296265,486709630,8.735438108444214,555293012,10.520536661148071,577062915,11.275924444198608,28452.50743586411,26627.247565224152,25945.614419737187,22547.354171523744,23833.475389954452,28280.058847653447,28264.727136232697,28170.166060692613,22898.398209104223,17466.62724853337,15747.477993841287,0.9885706034573641,518428788.0,9.4300537109375
33,,,,,,,,,,,,411457748.0,7.23889684677124,488143403,8.785142183303833,551109490,10.43494176864624,572960325,11.204519748687744,29131.066696265385,27355.30738768527,26833.76557402063,23145.572122670303,24487.786001309945,29066.57895900258,28980.29826243146,29155.0442796636,23537.78184285858,17932.74997200988,16200.566128035478,0.9888775294477289,517289936.0,9.412861347198486
34,,,,,,,,,,,,412508831.0,7.250573635101318,487237645,8.736350297927856,553291431,10.460447788238525,577387743,11.270959377288818,29965.6846735744,28084.95663789687,27529.4593697122,23790.45576435528,25296.41204865206,29808.06217284538,29782.665894474445,29885.27722406356,24317.728568644325,18438.925309423314,16632.163901030995,0.9887473474849354,519081069.0,9.433873653411865
35,,,,,,,,,,,,412340924.0,7.267241954803467,549110777,10.350497961044312,553454638,10.492096900939941,575913565,11.265365362167358,30745.68672546694,28972.06558606939,28226.929239052857,24353.5206781032,25976.523699087797,30610.618211805893,30606.53941566134,30629.88148826658,24982.314309163692,18903.139728993247,17137.623899406124,0.9885190942070701,516413840.0,9.422001838684082
36,,,,,,,,,,,,414305274.0,7.252900838851929,489872830,8.780934572219849,555064070,10.430323839187622,577059619,11.184852123260498,31578.136317319048,29719.13663840712,28977.15747030279,25106.85211036538,26645.18201546141,31488.917563116196,31491.132099028364,31443.03461322642,25559.110217577865,19523.293447547156,17630.930119243712,0.9886757081205194,519698376.0,9.42636227607727
37,,,,,,,,,,,,414435279.0,7.253296613693237,483045028,8.663012742996216,556577310,10.510961771011353,575272575,11.17491102218628,32594.711482467163,30499.632768423147,29694.58591423083,25803.821954243624,27341.11437158374,32238.268729573356,32421.729346257147,32222.233139291708,26214.058692298582,20125.226734463868,18080.57563975569,0.9888641725886952,516068747.0,9.370712041854858
38,,,,,,,,,,,,409724354.0,7.226191997528076,487002476,8.770972967147827,550125972,10.447075128555298,571681031,11.176214694976807,33468.68584780806,31208.4103241981,30468.36761567278,26474.215509336867,28012.496570547522,33131.250251849466,33195.3785116508,33146.11001151146,26866.7764021948,20655.229544990765,18516.77342193537,0.9890853708440607,514487880.0,9.365923166275024
39,,,,,,,,,,,,412809978.0,7.306533336639404,485960609,8.75423526763916,551945303,10.468843221664429,573830318,11.231007099151611,34257.39520041352,31944.27957939004,31434.237272404505,27054.47144130736,28661.418574042702,33963.59581290345,33994.435240105835,34041.65475581431,27630.614614343667,21113.080399084618,18923.633883095616,0.989299248565327,516804890.0,9.432326555252075
40,,,,,,,,,,,,414528846.0,7.29213809967041,550289485,10.35498309135437,553053577,10.449134111404419,576999804,11.290772438049316,35007.931538085526,32898.27605333888,32089.150334051046,27689.556937988164,29480.805095928492,34753.35827771918,34758.24602078042,34821.08846562863,28296.454003031235,21586.755058415678,19370.054354669817,0.9888784072615884,516733357.0,9.386576652526855
41,,,,,,,,,,,,410513048.0,7.217868089675903,489505522,8.807822227478027,551442314,10.432190418243408,575128715,11.248716592788696,35814.28240628773,33666.73344220687,32856.63507013094,28428.167719652472,30115.14093699539,35568.30526614029,35585.83145972433,35633.62090634088,28926.243522053017,22062.705720841503,19898.764996784208,0.9891550974412398,548067444.0,10.327459573745728
42,,,,,,,,,,,,413240275.0,7.278392314910889,487993745,8.801403999328613,553705431,10.497271060943604,573999446,11.265395879745483,36721.857973593054,34423.534070685055,33550.54060565444,29053.56139097891,30758.773254337426,36319.57113553613,36366.34819518001,36304.19057340872,29515.19009949499,22645.936939205334,20310.916685713706,0.9892216595736417,516665425.0,9.440562009811401
43,,,,,,,,,,,,412280134.0,7.256691932678223,485605324,8.760276317596436,553031665,10.500569105148315,574183650,11.250503301620483,37548.32579758159,35097.159689639346,34322.08696008597,29608.031368624706,31381.970975957163,37341.35153659149,37339.95652790126,37076.295380877076,30112.82425752269,23122.22226346639,20654.054053674077,0.988808664408597,517679644.0,9.46390175819397
44,,,,,,,,,,,,410546435.0,7.249026298522949,486177406,8.75858736038208,550254817,10.416749000549316,575076775,11.26242470741272,38286.58656853946,35836.17956807022,35250.147094056585,30206.44230500123,32021.062247279093,38156.513994587964,38141.74858569186,38120.60195412593,30756.684890965913,23580.24933784101,21081.66731934985,0.9893037351694974,518913772.0,9.473682641983032
45,,,,,,,,,,,,416492708.0,7.281375408172607,488602387,8.714707851409912,554729415,10.475057125091553,580049296,11.323454141616821,39061.69395310366,36541.60835921667,35909.14338373357,30844.828693049836,32826.92023457248,38969.737346357055,38878.73381658237,38884.53672602715,31524.17204745297,24048.903898613025,21500.52530544907,0.9891035610979254,520028271.0,9.429062128067017
46,,,,,,,,,,,,414554847.0,7.261371374130249,487027623,8.70181679725647,554868574,10.457461833953857,578927839,11.274384498596191,39834.75736793639,37501.46226580784,36654.92573885329,31431.400798086994,33500.238312973226,39800.58449457708,39651.147897926654,39682.63869807373,32124.84215397442,24541.238321592136,22016.88056841846,0.9890082532709296,519676526.0,9.443498373031616
47,,,,,,,,,,,,411758101.0,7.236005544662476,547570070,10.317800283432007,552215933,10.464104652404785,573585079,11.197811603546143,40618.085358472184,38351.865029170134,37406.27293257851,32197.29666009394,34233.47918673836,40632.58401672873,40477.266887384816,40491.3225400981,32803.67491799017,25130.136726103283,22503.557201335523,0.9893714135343378,514509913.0,9.39637541770935
48,,,,,,,,,,,,412239973.0,7.240163326263428,487515537,8.779778480529785,553243823,10.474479913711548,576532460,11.323283672332764,41665.528126947,39139.61423569355,38184.34234776674,32848.028301918384,34921.46549370434,41538.48336427734,41364.891821563295,41367.95108052071,33431.83306571795,25674.49143202382,22960.31662910705,0.9894340092485602,515518517.0,9.390912055969238
49,,,,,,,,,,,,415287389.0,7.298465728759766,482929489,8.682174682617188,555002180,10.489108800888062,576537526,11.268576383590698,42555.12203405854,39862.83179534091,38944.011300545346,33492.18816805908,35602.74420196909,42642.946460763014,42488.85961605737,42208.26510729161,34111.62287452976,26191.984318876897,23364.008172050246,0.9892153252254833,519998241.0,9.489979267120361
50,,,,,,,,,,,,415152014.0,7.3013505935668945,488012789,8.741133689880371,552159475,10.419463634490967,577998337,11.312690019607544,43311.53637305888,40594.5974340564,39863.7471783391,34110.38272510815,36217.6349631714,43374.250801730384,43245.52584636769,43245.23496155557,34697.860710072484,26665.45786320634,23815.05413041825,0.9893606955354864,520181896.0,9.44059681892395
